,,,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Pascal Gross,BHA,$8000,M/F,25,90,5,0,90,2,1,90,3,0,81,3,0,90,4,0,16,1,0,12,1,0,67,4,0,90,2,0
Aaron Mooy,BHA,$5200,M,7,35,1,0,90,3,0,65,0,0,70,1,0,10,0,0,0,0,0,0,0,0,5,2,0,0,0,0
Solomon March,BHA,$5300,M,5,45,0,0,0,0,0,0,0,0,0,0,0,89,0,0,90,0,0,68,2,0,90,3,0,89,0,0
Leandro Trossard,BHA,$7500,F,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,90,4,0,85,0,0,0,0,0
Ryan Fraser,BOU,$5200,M,26,90,6,0,27,1,0,0,0,0,27,1,0,33,2,1,90,2,0,90,4,0,90,4,0,90,6,1
Diego Rico,BOU,$4900,D,22,90,3,0,90,5,0,90,5,0,90,4,0,89,4,0,0,0,0,0,0,0,0,0,0,90,1,0
Harry Wilson,BOU,$4900,M,7,69,0,1,79,0,0,77,1,0,63,0,0,57,0,2,64,2,0,53,2,1,76,2,0,0,0,0
Jordon Ibe,BOU,$3500,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,22,0,0,0,0,0,0,0,0
Charlie Daniels,BOU,$3800,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,90,1,0,0,0,0
Joshua King,BOU,$4500,F,1,28,0,0,90,0,0,90,0,0,89,0,0,90,1,0,79,0,0,90,0,0,90,0,0,90,0,0
Lewis Cook,BOU,$3400,M,1,90,0,0,0,0,0,1,0,0,13,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight McNeil,BUR,$7300,M/F,24,90,2,0,90,1,0,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Ashley Westwood,BUR,$4000,M,22,90,3,0,90,4,0,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Johann Berg Gudmundsson,BUR,$6700,M/F,8,0,0,0,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Mason Mount,CHE,$8300,M,48,64,7,0,80,4,0,90,4,0,90,5,0,90,6,0,90,3,0,89,8,0,90,5,1,90,6,0
Willian,CHE,$9500,M/F,13,90,5,1,90,2,0,90,2,0,90,1,0,90,1,0,30,1,0,6,0,0,19,1,0,0,0,0
Callum Hudson-Odoi,CHE,$8200,F,2,89,2,0,80,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,CHE,$6400,M,1,43,0,0,0,0,0,68,0,0,0,0,0,20,0,0,60,0,1,90,1,0,0,0,0,58,0,0
Emerson Palmieri,CHE,$5500,D,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,90,0,0,90,1,0,90,0,0,90,0,0
Marcos Alonso,CHE,$5700,D,1,90,0,0,90,0,0,90,0,0,75,1,0,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lucas Digne,EVE,$5700,D,41,90,7,1,90,6,0,90,3,1,90,8,1,90,5,0,90,3,0,90,4,0,73,4,1,90,1,0
Gylfi Sigurdsson,EVE,$5800,M/F,25,3,0,0,59,3,1,90,5,0,90,5,0,71,2,0,90,7,0,61,1,0,90,1,0,79,1,0
Bernard,EVE,$4100,M,4,90,4,0,0,0,0,0,0,0,55,0,0,19,0,0,14,0,0,62,0,0,90,0,0,90,0,0
Richarlison,EVE,$6300,M/F,1,90,0,0,90,0,0,90,0,0,90,0,0,81,0,0,90,0,0,78,1,0,63,0,0,90,0,0
Oliver Norwood,SHU,$5600,M,38,85,5,0,90,4,0,77,4,0,64,2,0,90,7,0,90,4,0,90,4,1,90,6,0,90,2,0
John Fleck,SHU,$6500,M,21,90,3,0,90,5,0,90,1,0,90,1,0,90,7,0,0,0,0,0,0,0,29,1,0,90,3,0
Luke Freeman,SHU,$4400,M,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,90,3,0,61,3,0,12,0,0
John Lundstram,SHU,$4800,M,1,90,0,0,90,0,0,90,1,0,90,0,0,72,0,0,90,0,0,90,0,0,90,0,0,78,0,0
Jose Holebas,WAT,$5100,D,29,90,2,0,90,0,0,90,3,0,90,0,0,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Gerard Deulofeu,WAT,$6600,F,17,86,0,2,31,0,0,45,3,0,77,4,1,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Roberto Pereyra,WAT,$4500,M,10,84,0,0,90,7,0,45,2,0,57,0,0,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Tom Cleverley,WAT,$5100,M,4,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Kiko Femenia,WAT,$3800,D,1,19,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
Manuel Lanzini,WHU,$6100,M,23,90,2,1,68,2,0,23,0,0,0,0,0,90,3,0,90,6,0,88,8,0,90,2,0,90,0,0
Pablo Fornals,WHU,$4500,M,12,63,0,0,22,2,0,67,6,0,90,3,0,28,1,0,2,0,0,12,0,0,77,0,0,45,0,0
Robert Snodgrass,WHU,$6300,M,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,2,0,0,0,0,90,4,0,34,3,0
Felipe Anderson,WHU,$5000,M,2,45,0,0,90,0,0,90,0,0,70,0,0,69,2,0,88,0,0,78,0,0,0,0,0,66,0,0
