,,,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Nicolas Pepe,ARS,$7300,F,43,90,11,1,78,8,1,63,4,0,74,4,0,90,6,0,90,0,0,90,6,1,90,1,0,45,3,0,19,0,0
Dani Ceballos,ARS,$5700,M,30,90,2,0,45,4,0,75,7,0,35,3,0,72,2,0,60,1,0,27,3,0,61,0,0,83,8,0,26,0,0
Lucas Torreira,ARS,$3700,M,7,0,0,0,0,0,0,7,2,0,55,0,0,18,1,0,23,0,0,63,2,0,29,2,0,7,0,0,0,0,0
Reiss Nelson,ARS,$5400,M/F,5,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,19,0,0,0,0,0,0,0,0,45,1,0,71,2,0
Mesut Ozil,ARS,$6800,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo Guendouzi,ARS,$3600,M,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,67,0,0,90,0,0,86,1,0,90,0,0,90,0,0
Bukayo Saka,ARS,$6100,M/F,1,29,0,0,90,0,0,83,1,0,80,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Hourihane,AVL,$5700,M,20,0,0,0,63,5,2,78,4,0,90,7,1,5,1,0,0,0,0,19,2,0,0,0,0,0,0,0,82,1,0
Jack Grealish,AVL,$8700,M,16,84,3,0,90,1,0,90,1,0,90,1,0,90,4,0,90,1,0,90,0,0,90,0,0,90,5,0,90,0,0
John McGinn,AVL,$6000,M,12,90,5,0,90,2,0,90,1,0,90,0,0,90,1,1,90,0,0,90,0,0,90,0,0,90,3,0,90,0,0
