,,,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Nicolas Pepe,ARS,$7300,F,43,0,0,0,90,11,1,78,8,1,63,4,0,74,4,0,90,6,0,90,0,0,90,6,1,90,1,0,45,3,0,19,0,0
Dani Ceballos,ARS,$5700,M,33,90,3,0,90,2,0,45,4,0,75,7,0,35,3,0,72,2,0,60,1,0,27,3,0,61,0,0,83,8,0,26,0,0
Mesut Ozil,ARS,$6800,M,7,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Torreira,ARS,$3700,M,7,73,0,0,0,0,0,0,0,0,7,2,0,55,0,0,18,1,0,23,0,0,63,2,0,29,2,0,7,0,0,0,0,0
Reiss Nelson,ARS,$5400,M/F,5,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,19,0,0,0,0,0,0,0,0,45,1,0,71,2,0
Matteo Guendouzi,ARS,$3600,M,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,67,0,0,90,0,0,86,1,0,90,0,0,90,0,0
Bukayo Saka,ARS,$6100,M/F,1,17,0,0,29,0,0,90,0,0,83,1,0,80,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Rico,BOU,$4900,D,33,90,2,0,90,9,1,90,3,0,90,5,0,90,5,0,90,4,0,89,4,0,0,0,0,0,0,0,0,0,0,90,1,0
Ryan Fraser,BOU,$5200,M,31,90,1,0,90,4,0,90,6,0,27,1,0,0,0,0,27,1,0,33,2,1,90,2,0,90,4,0,90,4,0,90,6,1
Harry Wilson,BOU,$4900,M,9,86,2,1,29,0,1,69,0,1,79,0,0,77,1,0,63,0,0,57,0,2,64,2,0,53,2,1,76,2,0,0,0,0
Jordon Ibe,BOU,$3500,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,22,0,0,0,0,0,0,0,0
Charlie Daniels,BOU,$3800,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,90,1,0,0,0,0
Joshua King,BOU,$4500,F,1,90,0,0,90,0,0,28,0,0,90,0,0,90,0,0,89,0,0,90,1,0,79,0,0,90,0,0,90,0,0,90,0,0
Lewis Cook,BOU,$3400,M,1,4,0,0,0,0,0,90,0,0,0,0,0,1,0,0,13,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Westwood,BUR,$4000,M,27,90,3,0,90,2,0,90,3,0,90,4,0,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Dwight McNeil,BUR,$7300,M/F,27,59,1,0,90,2,0,90,2,0,90,1,0,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Johann Berg Gudmundsson,BUR,$6700,M/F,8,0,0,0,0,0,0,0,0,0,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Robbie Brady,BUR,$4400,M,4,31,3,1,6,1,0,65,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Digne,EVE,$5700,D,55,90,7,0,90,7,0,90,7,1,90,6,0,90,3,1,90,8,1,90,5,0,90,3,0,90,4,0,73,4,1,90,1,0
Gylfi Sigurdsson,EVE,$5800,M/F,26,6,1,0,60,0,0,3,0,0,59,3,1,90,5,0,90,5,0,71,2,0,90,7,0,61,1,0,90,1,0,79,1,0
Bernard,EVE,$4100,M,4,0,0,0,30,0,0,90,4,0,0,0,0,0,0,0,55,0,0,19,0,0,14,0,0,62,0,0,90,0,0,90,0,0
Richarlison,EVE,$6300,M/F,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,81,0,0,90,0,0,78,1,0,63,0,0,90,0,0
James Maddison,LEI,$10300,M,74,89,9,1,90,5,1,73,9,1,86,6,0,0,0,0,90,8,0,90,8,1,86,2,0,90,4,1,90,8,0,90,15,0
Youri Tielemans,LEI,$7200,M,14,90,0,0,90,2,0,90,0,0,90,0,0,90,10,0,84,0,0,90,0,0,90,2,0,89,0,0,90,0,0,90,0,0
Ben Chilwell,LEI,$5300,D,2,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,1,0,90,0,0,0,0,0,0,0,0,90,0,0
Jonjo Shelvey,NEW,$7000,M,14,90,5,1,5,0,0,0,0,0,0,0,0,0,0,0,73,5,0,90,1,0,0,0,0,0,0,0,90,1,0,54,2,0
Matt Ritchie,NEW,$6900,M,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,0,90,5,0,90,3,0
Sean Longstaff,NEW,$4100,M,13,0,0,0,82,5,0,90,1,0,90,4,0,90,0,0,0,0,0,0,0,0,90,3,1,90,0,0,16,0,0,67,0,0
Christian Atsu,NEW,$4700,M,5,13,0,0,1,0,0,7,0,0,7,0,0,90,0,0,90,0,0,90,0,0,82,5,0,73,0,0,0,0,0,0,0,0
Ki Sung-yueng,NEW,$3700,M,4,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,17,3,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0
Jetro Willems,NEW,$4800,D,1,87,0,0,90,1,0,90,0,0,90,0,0,0,0,0,82,0,0,90,0,0,90,0,0,0,0,0,0,0,0,36,0,0
Oliver Norwood,SHU,$5600,M,40,90,2,0,63,0,0,85,5,0,90,4,0,77,4,0,64,2,0,90,7,0,90,4,0,90,4,1,90,6,0,90,2,0
John Fleck,SHU,$6500,M,31,90,5,0,90,5,0,90,3,0,90,5,0,90,1,0,90,1,0,90,7,0,0,0,0,0,0,0,29,1,0,90,3,0
Luke Freeman,SHU,$4400,M,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,90,3,0,61,3,0,12,0,0
John Lundstram,SHU,$4800,M,1,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,72,0,0,90,0,0,90,0,0,90,0,0,78,0,0
James Ward-Prowse,SOU,$8000,M,47,90,1,0,90,3,1,90,4,1,90,4,1,90,6,1,90,4,0,90,7,0,90,2,0,90,5,2,90,6,0,90,5,0
Ryan Bertrand,SOU,$5100,D,8,0,0,0,12,0,0,90,0,0,90,2,0,90,3,0,45,0,0,0,0,0,0,0,0,0,0,0,77,1,0,90,2,1
Erik Lamela,TOT,$6700,M/F,34,0,0,0,0,0,0,27,10,1,90,2,0,26,1,0,79,2,0,90,3,0,60,2,0,62,3,0,85,2,0,88,9,1
Christian Eriksen,TOT,$6500,M,32,89,4,0,88,3,0,0,0,0,90,2,1,90,5,0,11,3,0,90,2,1,90,6,1,28,2,0,89,0,0,26,5,1
Danny Rose,TOT,$4100,D,4,0,0,0,90,2,0,90,1,0,0,0,0,90,0,0,90,1,0,76,0,0,90,0,0,88,0,0,90,0,0,90,0,0
Son Heung-Min,TOT,$8600,M/F,1,79,0,0,90,0,0,45,0,0,73,0,0,64,0,0,90,0,0,90,0,0,79,0,0,90,1,0,0,0,0,0,0,0
Dele Alli,TOT,$7500,M,1,90,0,0,90,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
Robert Snodgrass,WHU,$6300,M,26,90,8,0,86,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,2,0,0,0,0,90,4,0,34,3,0
Manuel Lanzini,WHU,$6100,M,24,45,0,0,24,1,0,90,2,1,68,2,0,23,0,0,0,0,0,90,3,0,90,6,0,88,8,0,90,2,0,90,0,0
Pablo Fornals,WHU,$4500,M,12,0,0,0,12,0,0,63,0,0,22,2,0,67,6,0,90,3,0,28,1,0,2,0,0,12,0,0,77,0,0,45,0,0
