,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Harry Kane,TOT,SHU,$8700,F,-150,60.00
Jamie Vardy,LEI,ARS,$10800,F,-125,55.56
Pierre-Emerick Aubameyang,ARS,LEI,$7900,F,-110,52.38
Kelechi Iheanacho,LEI,ARS,$8100,F,100,50.00
Alexandre Lacazette,ARS,LEI,$7700,F,110,47.62
Ashley Barnes,BUR,WHU,$6000,F,130,43.48
Son Heung-Min,TOT,SHU,$8600,M/F,130,43.48
Chris Wood,BUR,WHU,$6600,F,130,43.48
Gabriel Martinelli,ARS,LEI,$6900,M/F,160,38.46
Joelinton,NEW,BOU,$5700,F,162,38.17
Sebastien Haller,WHU,BUR,$5500,F,162,38.17
Lucas Moura,TOT,SHU,$6200,M/F,162,38.17
Lewis Richardson,BUR,WHU,$3100,M,162,38.17
Callum Wilson,BOU,NEW,$4700,F,162,38.17
Moise Kean,EVE,SOU,$4400,F,175,36.36
James Maddison,LEI,ARS,$10300,M,175,36.36
Jay Rodriguez,BUR,WHU,$5200,M/F,175,36.36
Matej Vydra,BUR,WHU,$4600,F,175,36.36
Richarlison,EVE,SOU,$6300,M/F,187,34.84
Danny Ings,SOU,EVE,$8500,F,187,34.84
Cenk Tosun,EVE,SOU,$4700,F,187,34.84
Arnaut Danjuma Groeneveld,BOU,NEW,$3700,F,200,33.33
Dwight Gayle,NEW,BOU,$4500,F,200,33.33
Dominic Solanke,BOU,NEW,$3800,F,200,33.33
Che Adams,SOU,EVE,$5600,F,210,32.26
Albian Ajeti,WHU,BUR,$4800,F,210,32.26
Dominic Calvert-Lewin,EVE,SOU,$4500,F,210,32.26
Nicolas Pepe,ARS,LEI,$7300,F,210,32.26
Ayoze Perez,LEI,ARS,$7700,M/F,210,32.26
Christian Eriksen,TOT,SHU,$6500,M,220,31.25
Michael Obafemi,SOU,EVE,$5300,F,225,30.77
Dele Alli,TOT,SHU,$7500,M,240,29.41
Andy Carroll,NEW,BOU,$5000,F,240,29.41
Demarai Gray,LEI,ARS,$3900,M,240,29.41
Joshua King,BOU,NEW,$4500,F,240,29.41
Yoshinori Muto,NEW,BOU,$4100,F,240,29.41
Gylfi Sigurdsson,EVE,SOU,$5800,M/F,240,29.41
Miguel Almiron,NEW,BOU,$5900,M/F,250,28.57
Oliver McBurnie,SHU,TOT,$7200,F,250,28.57
Harvey Barnes,LEI,ARS,$5900,M,260,27.78
Shane Long,SOU,EVE,$6300,F,260,27.78
Theo Walcott,EVE,SOU,$4600,M/F,260,27.78
Felipe Anderson,WHU,BUR,$5000,M,275,26.67
Leon Clarke,SHU,TOT,$5800,F,275,26.67
Nathan Redmond,SOU,EVE,$5500,M/F,275,26.67
Callum Robinson,SHU,TOT,$6100,M/F,275,26.67
Billy Sharp,SHU,TOT,$5100,F,275,26.67
Harry Wilson,BOU,NEW,$4900,M,275,26.67
Andriy Yarmolenko,WHU,BUR,$5200,F,275,26.67
Manuel Lanzini,WHU,BUR,$6100,M,300,25.00
David McGoldrick,SHU,TOT,$6400,F,300,25.00
Robert Snodgrass,WHU,BUR,$6300,M,300,25.00
