,,,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Nicolas Pepe,ARS,$7300,F,43,13,0,0,0,0,0,90,11,1,78,8,1,63,4,0,74,4,0,90,6,0,90,0,0,90,6,1,90,1,0,45,3,0,19,0,0
Dani Ceballos,ARS,$5700,M,33,0,0,0,90,3,0,90,2,0,45,4,0,75,7,0,35,3,0,72,2,0,60,1,0,27,3,0,61,0,0,83,8,0,26,0,0
Mesut Ozil,ARS,$6800,M,11,90,4,0,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Torreira,ARS,$3700,M,7,80,0,0,73,0,0,0,0,0,0,0,0,7,2,0,55,0,0,18,1,0,23,0,0,63,2,0,29,2,0,7,0,0,0,0,0
Reiss Nelson,ARS,$5400,M/F,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,19,0,0,0,0,0,0,0,0,45,1,0,71,2,0
Matteo Guendouzi,ARS,$3600,M,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,67,0,0,90,0,0,86,1,0,90,0,0,90,0,0
Bukayo Saka,ARS,$6100,M/F,1,0,0,0,17,0,0,29,0,0,90,0,0,83,1,0,80,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Gross,BHA,$8000,M/F,33,31,1,0,59,6,0,66,1,1,90,5,0,90,2,1,90,3,0,81,3,0,90,4,0,16,1,0,12,1,0,67,4,0,90,2,0
Leandro Trossard,BHA,$7500,F,11,59,3,0,31,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,90,4,0,85,0,0,0,0,0
Aaron Mooy,BHA,$5200,M,7,0,0,0,0,0,0,0,0,0,35,1,0,90,3,0,65,0,0,70,1,0,10,0,0,0,0,0,0,0,0,5,2,0,0,0,0
Solomon March,BHA,$5300,M,5,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,89,0,0,90,0,0,68,2,0,90,3,0,89,0,0
Ryan Fraser,BOU,$5200,M,38,90,7,0,90,1,0,90,4,0,90,6,0,27,1,0,0,0,0,27,1,0,33,2,1,90,2,0,90,4,0,90,4,0,90,6,1
Diego Rico,BOU,$4900,D,34,66,1,0,90,2,0,90,9,1,90,3,0,90,5,0,90,5,0,90,4,0,89,4,0,0,0,0,0,0,0,0,0,0,90,1,0
Harry Wilson,BOU,$4900,M,9,66,0,1,86,2,1,29,0,1,69,0,1,79,0,0,77,1,0,63,0,0,57,0,2,64,2,0,53,2,1,76,2,0,0,0,0
Jordon Ibe,BOU,$3500,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,22,0,0,0,0,0,0,0,0
Charlie Daniels,BOU,$3800,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,90,1,0,0,0,0
Joshua King,BOU,$4500,F,1,90,0,0,90,0,0,90,0,0,28,0,0,90,0,0,90,0,0,89,0,0,90,1,0,79,0,0,90,0,0,90,0,0,90,0,0
Lewis Cook,BOU,$3400,M,1,90,0,0,4,0,0,0,0,0,90,0,0,0,0,0,1,0,0,13,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Westwood,BUR,$4000,M,35,90,8,0,90,3,0,90,2,0,90,3,0,90,4,0,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Dwight McNeil,BUR,$7300,M/F,30,90,3,0,59,1,0,90,2,0,90,2,0,90,1,0,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Johann Berg Gudmundsson,BUR,$6700,M/F,8,0,0,0,0,0,0,0,0,0,0,0,0,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Robbie Brady,BUR,$4400,M,4,1,0,0,31,3,1,6,1,0,65,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Milivojevic,CRY,$6600,M,64,90,2,0,90,7,0,90,6,0,76,1,1,0,0,0,90,6,0,90,7,0,90,6,0,90,17,1,90,2,0,90,7,1,90,3,0
Patrick van Aanholt,CRY,$4500,D,12,90,0,0,90,3,0,90,4,0,90,1,0,90,4,0,90,0,0,90,0,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0
Andros Townsend,CRY,$5700,M/F,4,90,0,0,0,0,0,90,0,0,35,0,0,9,0,0,20,0,0,0,0,0,85,0,0,6,0,0,10,0,0,70,0,0,90,4,0
Lucas Digne,EVE,$5700,D,63,90,8,0,90,7,0,90,7,0,90,7,1,90,6,0,90,3,1,90,8,1,90,5,0,90,3,0,90,4,0,73,4,1,90,1,0
Gylfi Sigurdsson,EVE,$5800,M/F,30,90,4,0,6,1,0,60,0,0,3,0,0,59,3,1,90,5,0,90,5,0,71,2,0,90,7,0,61,1,0,90,1,0,79,1,0
