,,,,,Game 14,,,Game 13,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Conor Hourihane,AVL,$5700,M,33,81,5,0,89,7,1,0,0,0,17,1,0,0,0,0,63,5,2,78,4,0,90,7,1,5,1,0,0,0,0,19,2,0,0,0,0,0,0,0,82,1,0
Jack Grealish,AVL,$8700,M,31,90,8,0,90,7,0,0,0,0,0,0,0,84,3,0,90,1,0,90,1,0,90,1,0,90,4,0,90,1,0,90,0,0,90,0,0,90,5,0,90,0,0
John McGinn,AVL,$6000,M,17,90,0,0,90,0,0,90,3,0,90,2,0,90,5,0,90,2,0,90,1,0,90,0,0,90,1,1,90,0,0,90,0,0,90,0,0,90,3,0,90,0,0
Anwar El Ghazi,AVL,$6800,M,10,18,0,0,90,1,0,90,3,1,90,1,0,6,0,0,76,0,0,64,0,0,70,1,0,86,0,1,90,2,0,0,0,0,13,0,0,75,2,1,90,0,0
Trezeguet,AVL,$5300,M,4,72,0,0,0,0,0,90,0,0,90,0,0,90,0,0,27,0,0,26,0,0,20,2,0,68,0,0,0,0,0,54,0,1,86,1,0,87,1,0,59,0,0
Mason Mount,CHE,$8300,M,62,90,6,0,16,0,1,87,1,1,90,0,1,90,7,1,64,7,0,80,4,0,90,4,0,90,5,0,90,6,0,90,3,0,89,8,0,90,5,1,90,6,0
Willian,CHE,$9500,M/F,24,27,1,0,90,2,0,90,7,2,89,1,0,72,0,0,90,5,1,90,2,0,90,2,0,90,1,0,90,1,0,30,1,0,6,0,0,19,1,0,0,0,0
Emerson Palmieri,CHE,$5500,D,4,90,2,0,59,0,0,90,0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,90,0,0,90,1,0,90,0,0,90,0,0
Christian Pulisic,CHE,$9200,M/F,4,90,0,0,90,0,0,80,0,0,83,4,0,90,0,0,26,0,0,10,0,0,0,0,0,0,0,0,0,0,0,90,0,0,84,0,0,71,0,0,32,0,0
Callum Hudson-Odoi,CHE,$8200,F,4,19,1,0,0,0,0,10,1,0,7,0,0,18,0,0,89,2,0,80,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,CHE,$6400,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,68,0,0,0,0,0,20,0,0,60,0,1,90,1,0,0,0,0,58,0,0
Marcos Alonso,CHE,$5700,D,1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,90,0,0,90,0,0,90,0,0,75,1,0,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Reece James,CHE,$5200,D,1,90,1,0,31,0,0,90,0,0,1,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Digne,EVE,$5700,D,72,90,4,0,90,5,1,90,8,0,90,7,0,90,7,0,90,7,1,90,6,0,90,3,1,90,8,1,90,5,0,90,3,0,90,4,0,73,4,1,90,1,0
Gylfi Sigurdsson,EVE,$5800,M/F,35,90,2,0,90,3,0,90,4,0,6,1,0,60,0,0,3,0,0,59,3,1,90,5,0,90,5,0,71,2,0,90,7,0,61,1,0,90,1,0,79,1,0
Bernard,EVE,$4100,M,4,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,90,4,0,0,0,0,0,0,0,55,0,0,19,0,0,14,0,0,62,0,0,90,0,0,90,0,0
Theo Walcott,EVE,$4600,M/F,1,0,0,0,66,1,0,74,0,0,68,0,0,72,0,0,86,0,0,0,0,0,7,0,0,19,0,0,9,0,0,0,0,0,12,0,0,27,0,0,0,0,0
Richarlison,EVE,$6300,M/F,1,90,0,0,90,0,0,89,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,81,0,0,90,0,0,78,1,0,63,0,0,90,0,0
James Maddison,LEI,$10300,M,90,90,6,0,90,5,1,90,5,1,89,9,1,90,5,1,73,9,1,86,6,0,0,0,0,90,8,0,90,8,1,86,2,0,90,4,1,90,8,0,90,15,0
Youri Tielemans,LEI,$7200,M,14,90,0,0,90,0,0,90,0,0,90,0,0,90,2,0,90,0,0,90,0,0,90,10,0,84,0,0,90,0,0,90,2,0,89,0,0,90,0,0,90,0,0
Ben Chilwell,LEI,$5300,D,9,90,2,0,90,4,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,1,0,90,0,0,0,0,0,0,0,0,90,0,0
Trent Alexander-Arnold,LIV,$7300,D,74,90,5,0,90,8,0,90,3,0,90,12,1,90,11,1,90,2,0,90,5,0,90,4,1,90,4,0,90,5,0,90,2,0,90,5,0,90,5,0,90,3,1
Mohamed Salah,LIV,$9800,M/F,21,69,0,0,0,0,0,87,0,0,65,0,0,85,0,0,0,0,0,89,0,1,90,2,0,89,0,0,90,5,0,90,3,0,90,1,0,79,3,1,90,7,0
Andrew Robertson,LIV,$5500,D,3,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0
James Milner,LIV,$5900,M,2,0,0,0,11,0,0,29,1,0,0,0,0,13,0,0,0,0,0,90,0,0,3,0,0,19,0,0,15,0,0,0,0,0,21,0,0,74,1,0,4,0,0
Jordan Henderson,LIV,$5100,M,2,90,0,0,79,0,0,61,0,0,90,0,0,90,0,0,71,0,0,12,0,0,64,0,0,84,0,0,0,0,0,71,0,0,90,0,0,1,0,0,90,2,0
Xherdan Shaqiri,LIV,$6900,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Ashley Young,MUN,$4600,D,47,0,0,0,0,0,0,0,0,0,90,4,0,90,0,0,90,2,0,86,10,0,90,9,0,90,7,0,90,4,0,90,4,0,56,7,0,0,0,0,0,0,0
Andreas Pereira,MUN,$5100,M,33,90,4,0,73,2,0,70,6,0,68,5,0,82,10,0,89,2,0,90,1,1,74,0,0,90,0,0,90,0,1,68,0,0,0,0,0,1,0,0,74,3,0
Fred,MUN,$3900,M,9,90,5,0,90,2,0,90,2,1,90,0,0,90,0,0,90,0,0,90,0,0,16,0,0,19,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,MUN,$8200,F,6,90,1,0,90,0,0,89,0,1,90,0,0,90,0,1,84,0,0,90,0,0,90,0,1,61,0,0,90,0,1,90,0,0,90,3,2,89,2,1,86,0,0
Luke Shaw,MUN,$3800,D,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,90,2,0,90,0,0
Daniel James,MUN,$6700,M,3,90,0,0,90,0,0,90,0,0,80,1,0,80,0,0,90,0,0,90,0,0,90,0,0,90,0,0,89,0,0,90,0,0,90,0,0,89,1,0,16,1,0
Juan Mata,MUN,$3400,M,2,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,81,0,0,70,0,0,68,0,0,5,0,0,9,1,0,4,0,0
Jesse Lingard,MUN,$4200,M,2,16,0,0,45,0,0,20,0,0,22,0,0,10,0,0,0,0,0,0,0,0,74,0,0,29,1,0,0,0,0,22,0,0,56,0,0,81,1,0,86,0,0
Brandon Williams,MUN,$3300,D,1,79,0,0,90,0,0,89,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Buendia,NOR,$6200,M,63,7,3,0,10,0,0,62,5,0,90,3,1,90,2,0,90,7,0,90,10,0,90,7,0,90,3,0,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
Kenny McLean,NOR,$4200,M,16,90,5,0,88,10,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,12,0,0,9,0,0,0,0,0,90,0,0
Todd Cantwell,NOR,$4500,M,6,83,0,0,80,0,0,28,6,0,6,0,0,45,0,0,81,0,0,80,0,0,81,0,0,89,0,0,90,0,0,78,0,0,90,0,0,90,0,0,90,0,0
Onel Hernandez,NOR,$3900,M,1,90,0,0,90,0,0,90,1,0,90,0,0,45,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
James Ward-Prowse,SOU,$8000,M,67,90,6,2,90,8,0,90,6,1,90,1,0,90,3,1,90,4,1,90,4,1,90,6,1,90,4,0,90,7,0,90,2,0,90,5,2,90,6,0,90,5,0
Ryan Bertrand,SOU,$5100,D,9,90,0,0,90,1,0,0,0,0,0,0,0,12,0,0,90,0,0,90,2,0,90,3,0,45,0,0,0,0,0,0,0,0,0,0,0,77,1,0,90,2,1
Erik Lamela,TOT,$6700,M/F,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,1,90,2,0,26,1,0,79,2,0,90,3,0,60,2,0,62,3,0,85,2,0,88,9,1
Christian Eriksen,TOT,$6500,M,32,0,0,0,11,0,0,0,0,0,89,4,0,88,3,0,0,0,0,90,2,1,90,5,0,11,3,0,90,2,1,90,6,1,28,2,0,89,0,0,26,5,1
Son Heung-Min,TOT,$8600,M/F,5,88,1,0,90,1,0,90,2,0,79,0,0,90,0,0,45,0,0,73,0,0,64,0,0,90,0,0,90,0,0,79,0,0,90,1,0,0,0,0,0,0,0
Harry Winks,TOT,$3500,M,5,1,0,0,90,5,0,45,0,0,0,0,0,63,0,0,70,0,0,45,0,0,89,0,0,90,0,0,67,0,0,90,0,0,90,0,0,56,0,0,64,0,0
Tanguy Ndombele,TOT,$5200,M,5,74,3,0,0,0,0,45,2,0,73,0,0,27,0,0,20,0,0,45,0,0,78,0,0,86,0,0,23,0,0,0,0,0,0,0,0,90,0,0,89,0,0
Danny Rose,TOT,$4100,D,4,0,0,0,15,0,0,0,0,0,0,0,0,90,2,0,90,1,0,0,0,0,90,0,0,90,1,0,76,0,0,90,0,0,88,0,0,90,0,0,90,0,0
Dele Alli,TOT,$7500,M,2,89,0,0,79,1,0,72,0,0,90,0,0,90,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
Giovani Lo Celso,TOT,$5900,M,1,2,0,0,0,0,0,90,1,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,28,0,0,5,0,0,0,0,0
Jose Holebas,WAT,$5100,D,44,90,5,0,90,6,0,88,4,0,0,0,0,0,0,0,90,2,0,90,0,0,90,3,0,90,0,0,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Gerard Deulofeu,WAT,$6600,F,33,67,3,0,90,4,2,70,1,0,90,2,0,90,6,0,86,0,2,31,0,0,45,3,0,77,4,1,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Roberto Pereyra,WAT,$4500,M,11,0,0,0,0,0,0,31,0,0,90,0,0,90,1,0,84,0,0,90,7,0,45,2,0,57,0,0,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Tom Cleverley,WAT,$5100,M,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Nathaniel Chalobah,WAT,$3200,M,1,16,1,0,0,0,0,0,0,0,67,0,0,57,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Kiko Femenia,WAT,$3800,D,1,82,0,0,90,0,0,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
Robert Snodgrass,WHU,$6300,M,39,90,3,0,90,5,0,90,5,0,90,8,0,86,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,2,0,0,0,0,90,4,0,34,3,0
Manuel Lanzini,WHU,$6100,M,24,0,0,0,0,0,0,33,0,0,45,0,0,24,1,0,90,2,1,68,2,0,23,0,0,0,0,0,90,3,0,90,6,0,88,8,0,90,2,0,90,0,0
Pablo Fornals,WHU,$4500,M,12,83,0,0,34,0,0,64,0,0,0,0,0,12,0,0,63,0,0,22,2,0,67,6,0,90,3,0,28,1,0,2,0,0,12,0,0,77,0,0,45,0,0
Felipe Anderson,WHU,$5000,M,3,71,0,0,45,0,0,56,0,0,90,1,0,66,0,0,45,0,0,90,0,0,90,0,0,70,0,0,69,2,0,88,0,0,78,0,0,0,0,0,66,0,0
Joao Moutinho,WLV,$6000,M,79,90,13,0,90,9,1,90,6,0,90,10,1,90,7,0,90,3,0,90,1,0,90,1,0,90,8,0,90,9,0,31,1,0,59,3,0,90,5,0,90,3,0
Ruben Neves,WLV,$3200,M,11,90,0,0,90,0,0,85,0,0,90,0,0,90,0,0,45,0,0,90,0,0,3,0,0,33,0,0,90,0,0,84,8,0,90,3,0,90,0,0,81,0,0
Pedro Neto,WLV,$5600,F,1,0,0,0,0,0,0,7,0,0,1,0,0,20,0,0,0,0,0,0,0,0,57,0,0,25,0,0,0,0,0,6,0,0,23,1,0,4,0,0,0,0,0
