,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Mason Greenwood,MUN,$6400,F,138,0.65,0.00,4.57,2.61,0.00,3.26,0.00,0.65,0.65,0.65,31.30
Michail Antonio,WHU,$6200,M/F,246,0.37,0.00,4.02,2.56,1.10,1.46,1.10,0.37,1.10,1.83,28.90
Ross Barkley,CHE,$6400,M,339,0.00,0.00,3.98,1.33,0.80,0.80,2.65,0.53,0.53,0.80,51.50
Mohamed Salah,LIV,$9800,M/F,1013,0.53,0.27,3.73,1.69,0.09,1.69,1.60,0.27,0.71,0.80,28.25
Tammy Abraham,CHE,$9700,F,970,0.93,0.19,3.71,1.86,0.28,0.28,1.21,0.09,0.84,1.11,16.14
Cenk Tosun,EVE,$4700,F,221,0.41,0.00,3.67,1.22,0.00,0.81,1.63,0.00,1.22,1.22,17.51
Alex Oxlade-Chamberlain,LIV,$6500,M/F,405,0.00,0.00,3.56,0.44,2.00,2.00,0.89,0.67,1.11,1.33,42.44
Pedro,CHE,$7800,M/F,306,0.00,0.00,3.53,1.47,2.35,2.06,2.65,0.59,0.59,1.47,38.24
Lucas Moura,TOT,$6200,M/F,501,0.36,0.18,3.41,1.26,0.36,0.36,1.08,0.90,0.54,1.80,31.44
Son Heung-Min,TOT,$8600,M/F,968,0.37,0.56,3.35,1.30,0.28,1.39,1.95,0.93,0.56,0.84,29.66
Raul Jimenez,WLV,$7800,F,1214,0.44,0.22,3.34,1.33,0.52,0.82,1.63,0.44,1.19,0.82,27.28
Roberto Firmino,LIV,$8500,M/F,1168,0.31,0.23,3.31,1.39,0.08,0.15,1.31,0.62,0.85,0.46,33.36
Moise Kean,EVE,$4400,F,300,0.00,0.30,3.30,0.60,0.60,1.50,0.90,0.90,3.30,1.20,14.40
Theo Walcott,EVE,$4600,M/F,440,0.00,0.20,3.27,0.82,0.82,2.86,1.23,0.61,0.41,1.64,23.32
Gerard Deulofeu,WAT,$6600,F,942,0.19,0.19,3.15,1.43,0.86,5.35,2.20,0.67,0.86,0.57,31.24
Marcus Rashford,MUN,$8200,F,1219,0.52,0.30,3.10,1.18,0.30,1.40,1.40,0.52,0.81,1.62,25.62
Willian,CHE,$9500,M/F,873,0.21,0.31,2.99,0.72,1.03,4.54,1.96,1.34,0.52,2.27,47.11
James Maddison,LEI,$10300,M,1144,0.31,0.16,2.99,0.71,0.24,7.79,2.28,1.18,1.34,2.67,49.72
Anthony Martial,MUN,$7100,M/F,698,0.39,0.39,2.97,1.55,0.13,0.39,0.90,0.13,1.16,1.03,23.21
Danny Ings,SOU,$8500,F,918,0.69,0.10,2.94,1.27,0.29,0.78,1.18,0.78,1.08,0.69,17.45
Mason Mount,CHE,$8300,M,1146,0.31,0.08,2.91,1.10,0.47,4.87,1.96,0.71,1.10,0.86,35.73
Sofiane Boufal,SOU,$6600,M,466,0.00,0.39,2.90,1.16,0.19,2.70,1.93,1.16,3.28,2.12,32.06
Christian Pulisic,CHE,$9200,M/F,746,0.60,0.24,2.90,1.45,0.36,2.17,1.81,0.36,0.48,0.84,38.36
Ismaila Sarr,WAT,$5700,M/F,280,0.32,0.00,2.89,0.96,0.00,2.57,0.64,0.00,1.29,1.61,20.57
Patrick Cutrone,WLV,$6300,F,283,0.32,0.00,2.86,0.64,0.32,1.59,0.64,0.64,1.59,2.86,16.54
Richarlison,EVE,$6300,M/F,1211,0.30,0.15,2.75,0.82,0.45,2.23,1.04,1.78,0.89,2.16,24.67
Harry Kane,TOT,$8700,F,1165,0.54,0.08,2.70,1.00,0.31,0.70,0.85,0.15,1.24,1.39,17.69
Diogo Jota,WLV,$7000,M/F,903,0.10,0.00,2.69,0.90,0.60,1.40,1.20,0.50,2.19,2.79,32.79
Teemu Pukki,NOR,$5400,F,1246,0.51,0.22,2.67,1.44,0.22,0.36,1.30,0.29,0.87,0.43,15.60
John McGinn,AVL,$6000,M,1260,0.21,0.14,2.64,1.07,0.93,2.50,1.43,1.86,1.29,2.36,29.14
Sadio Mane,LIV,$10000,M/F,1148,0.63,0.16,2.59,1.33,0.78,1.41,2.20,1.10,1.80,1.49,32.85
Trezeguet,AVL,$5300,M,769,0.23,0.12,2.57,0.82,1.40,3.63,0.94,0.59,1.64,1.99,18.73
Callum Hudson-Odoi,CHE,$8200,F,250,0.00,1.08,2.52,0.72,0.72,4.32,3.60,0.36,1.08,0.72,48.60
Anwar El Ghazi,AVL,$6800,M,858,0.31,0.42,2.52,1.15,0.52,4.09,1.57,0.73,0.73,0.84,22.97
Pedro Neto,WLV,$5600,F,143,0.00,0.63,2.52,0.63,0.63,4.41,1.26,0.00,0.63,0.00,39.65
Jamie Vardy,LEI,$10800,F,1260,0.93,0.21,2.50,1.50,0.07,0.79,0.64,0.36,0.86,0.36,12.36
Che Adams,SOU,$5600,F,469,0.00,0.00,2.49,0.38,0.19,1.15,1.15,0.00,1.34,0.38,16.50
Sebastien Haller,WHU,$5500,F,1094,0.33,0.08,2.39,1.15,0.49,0.25,0.90,0.66,1.65,1.73,30.27
Harvey Barnes,LEI,$5900,M,803,0.11,0.45,2.35,1.01,0.34,1.79,1.68,0.45,1.23,0.90,30.37
Josip Drmic,NOR,$4200,F,115,0.78,0.00,2.35,0.78,0.00,0.78,0.00,0.00,0.00,1.57,19.57
Gylfi Sigurdsson,EVE,$5800,M/F,969,0.09,0.09,2.32,1.02,0.65,4.55,2.51,0.74,0.74,0.84,30.37
Andre Gray,WAT,$4800,F,660,0.27,0.00,2.32,0.68,0.14,0.41,1.23,0.41,0.95,0.14,17.05
James Milner,LIV,$5900,M,279,0.32,0.65,2.26,0.65,0.65,0.65,1.29,0.65,1.29,0.65,58.71
Ayoze Perez,LEI,$7700,M/F,842,0.43,0.11,2.24,1.18,0.86,1.82,0.86,1.07,1.07,1.07,34.10
Nathan Redmond,SOU,$5500,M/F,1027,0.09,0.00,2.19,0.61,0.26,1.05,1.05,0.79,0.70,0.96,31.46
Jack Grealish,AVL,$8700,M,1074,0.25,0.34,2.18,0.75,0.67,2.85,2.77,0.92,0.84,4.44,43.91
Andreas Pereira,MUN,$5100,M,959,0.09,0.09,2.16,0.84,0.56,4.50,1.60,0.75,1.78,1.13,35.94
Youri Tielemans,LEI,$7200,M,1253,0.22,0.22,2.15,0.43,0.72,2.59,1.65,0.57,0.72,1.36,55.67
Danny Welbeck,WAT,$5200,F,210,0.00,0.00,2.14,0.86,0.00,0.00,0.86,1.29,0.86,0.86,19.29
Ruben Neves,WLV,$3200,M,1051,0.17,0.00,2.14,0.43,1.20,1.71,0.69,0.77,1.03,0.60,57.63
Fred,MUN,$3900,M,688,0.00,0.00,2.09,0.52,1.70,1.18,1.31,1.31,1.57,1.57,59.91
Tom Cleverley,WAT,$5100,M,647,0.14,0.00,2.09,0.56,0.97,2.36,1.81,1.25,0.97,0.42,40.76
Onel Hernandez,NOR,$3900,M,434,0.21,0.21,2.07,0.83,1.45,3.11,1.04,1.24,0.62,0.83,20.74
Andriy Yarmolenko,WHU,$5200,F,783,0.34,0.11,2.07,1.03,0.46,1.61,1.72,0.80,1.49,0.92,33.68
Conor Hourihane,AVL,$5700,M,524,0.34,0.34,2.06,0.86,0.69,6.18,2.06,0.69,1.20,1.20,36.41
Alex Iwobi,EVE,$4900,M/F,764,0.12,0.00,2.00,0.94,0.47,2.24,1.53,1.06,0.12,0.47,34.04
Adam Lallana,LIV,$4900,M,135,0.67,0.00,2.00,0.67,0.67,0.67,2.00,2.67,0.67,3.33,74.00
Moussa Djenepo,SOU,$5800,M,324,0.56,0.28,1.94,1.11,1.11,1.94,0.56,1.94,2.22,3.61,22.78
Christian Eriksen,TOT,$6500,M,702,0.13,0.13,1.92,0.77,0.77,5.00,1.79,0.38,1.03,0.64,47.18
Marc Albrighton,LEI,$5100,M,191,0.00,0.47,1.88,0.47,0.94,6.60,3.77,1.88,1.88,1.41,56.54
Dominic Calvert-Lewin,EVE,$4500,F,623,0.43,0.00,1.88,0.72,0.14,0.87,0.43,0.29,1.73,1.16,17.34
Wesley Moraes,AVL,$4900,F,1200,0.30,0.08,1.88,1.13,0.23,0.23,0.53,0.38,2.33,0.75,16.65
James Ward-Prowse,SOU,$8000,M,1260,0.29,0.00,1.86,0.86,1.21,5.43,1.43,0.79,1.21,0.93,36.07
Dele Alli,TOT,$7500,M,540,0.67,0.17,1.83,1.00,0.67,0.67,1.33,1.33,0.33,1.33,42.00
Paul Pogba,MUN,$6500,M,450,0.00,0.40,1.80,0.20,0.20,0.40,2.60,1.00,1.60,1.40,73.60
Todd Cantwell,NOR,$4500,M,1011,0.36,0.18,1.78,0.80,0.80,0.71,1.69,0.71,1.34,1.96,37.03
Erik Lamela,TOT,$6700,M/F,607,0.30,0.15,1.78,0.59,0.59,6.08,2.08,1.63,1.63,1.48,40.18
Demarai Gray,LEI,$3900,M,205,0.00,0.44,1.76,0.88,1.32,3.51,2.63,1.32,0.44,1.76,39.95
Giovani Lo Celso,TOT,$5900,M,155,0.00,0.00,1.74,0.00,1.16,1.74,2.32,1.16,1.74,4.65,56.32
