,,,,,Game 15,,,Game 14,,,Game 13,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Diego Rico,BOU,$4900,D,50,64,6,0,90,6,0,90,4,0,66,1,0,90,2,0,90,9,1,90,3,0,90,5,0,90,5,0,90,4,0,89,4,0,0,0,0,0,0,0,0,0,0,90,1,0
Ryan Fraser,BOU,$5200,M,47,26,2,0,63,4,0,90,3,0,90,7,0,90,1,0,90,4,0,90,6,0,27,1,0,0,0,0,27,1,0,33,2,1,90,2,0,90,4,0,90,4,0,90,6,1
Harry Wilson,BOU,$4900,M,12,90,3,0,27,0,1,45,0,0,66,0,1,86,2,1,29,0,1,69,0,1,79,0,0,77,1,0,63,0,0,57,0,2,64,2,0,53,2,1,76,2,0,0,0,0
Jordon Ibe,BOU,$3500,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,22,0,0,0,0,0,0,0,0
Charlie Daniels,BOU,$3800,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,90,1,0,0,0,0
Joshua King,BOU,$4500,F,1,0,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,0,0,28,0,0,90,0,0,90,0,0,89,0,0,90,1,0,79,0,0,90,0,0,90,0,0,90,0,0
Lewis Cook,BOU,$3400,M,1,8,0,0,74,0,0,76,0,0,90,0,0,4,0,0,0,0,0,90,0,0,0,0,0,1,0,0,13,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Westwood,BUR,$4000,M,40,0,0,0,0,0,0,90,5,0,90,8,0,90,3,0,90,2,0,90,3,0,90,4,0,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Dwight McNeil,BUR,$7300,M/F,36,75,1,1,90,3,0,90,2,0,90,3,0,59,1,0,90,2,0,90,2,0,90,1,0,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Johann Berg Gudmundsson,BUR,$6700,M/F,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Robbie Brady,BUR,$4400,M,5,15,0,0,77,1,0,0,0,0,1,0,0,31,3,1,6,1,0,65,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Hendrick,BUR,$3300,M,5,90,2,0,90,3,0,90,0,0,90,0,0,90,0,0,84,0,0,90,0,0,90,0,0,90,0,0,89,0,0,31,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Luka Milivojevic,CRY,$6600,M,87,90,9,1,90,6,1,90,8,0,90,2,0,90,7,0,90,6,0,76,1,1,0,0,0,90,6,0,90,7,0,90,6,0,90,17,1,90,2,0,90,7,1,90,3,0
Patrick van Aanholt,CRY,$4500,D,14,29,0,0,90,0,0,90,2,0,90,0,0,90,3,0,90,4,0,90,1,0,90,4,0,90,0,0,90,0,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0
Andros Townsend,CRY,$5700,M/F,4,45,0,0,69,0,0,90,0,0,90,0,0,0,0,0,90,0,0,35,0,0,9,0,0,20,0,0,0,0,0,85,0,0,6,0,0,10,0,0,70,0,0,90,4,0
Trent Alexander-Arnold,LIV,$7300,D,76,83,2,0,90,5,0,90,8,0,90,3,0,90,12,1,90,11,1,90,2,0,90,5,0,90,4,1,90,4,0,90,5,0,90,2,0,90,5,0,90,5,0,90,3,1
Mohamed Salah,LIV,$9800,M/F,21,0,0,0,69,0,0,0,0,0,87,0,0,65,0,0,85,0,0,0,0,0,89,0,1,90,2,0,89,0,0,90,5,0,90,3,0,90,1,0,79,3,1,90,7,0
Xherdan Shaqiri,LIV,$6900,M/F,5,90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Andrew Robertson,LIV,$5500,D,3,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0
James Milner,LIV,$5900,M,2,90,0,0,0,0,0,11,0,0,29,1,0,0,0,0,13,0,0,0,0,0,90,0,0,3,0,0,19,0,0,15,0,0,0,0,0,21,0,0,74,1,0,4,0,0
Jordan Henderson,LIV,$5100,M,2,18,0,0,90,0,0,79,0,0,61,0,0,90,0,0,90,0,0,71,0,0,12,0,0,64,0,0,84,0,0,0,0,0,71,0,0,90,0,0,1,0,0,90,2,0
Kevin De Bruyne,MCI,$10100,M,101,80,4,0,90,10,0,90,8,0,90,16,0,90,11,1,76,9,0,89,8,0,0,0,0,80,2,0,90,4,1,33,10,0,69,4,0,90,5,0,90,9,0,79,1,0
Bernardo Silva,MCI,$8100,M/F,15,90,2,0,21,0,0,0,0,0,90,0,0,84,4,0,90,2,0,90,0,0,30,3,0,10,0,0,90,0,0,73,0,0,12,1,0,79,0,0,80,3,0,0,0,0
Ilkay Gundogan,MCI,$5500,M,14,0,0,0,90,0,0,38,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,7,1,90,0,0,0,0,0,57,6,0,21,0,1,58,0,0,90,1,0,11,0,0
Riyad Mahrez,MCI,$9000,M/F,12,18,0,0,69,0,0,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,90,0,1,90,1,1,17,3,0,90,4,0,11,0,0,10,0,0,90,0,0
David Silva,MCI,$6300,M,2,90,0,0,70,1,0,67,0,0,0,0,0,45,0,0,90,1,0,79,0,0,75,0,1,4,0,0,90,0,0,57,0,0,78,0,0,90,0,0,12,0,0,80,0,0
Phil Foden,MCI,$7200,M,2,10,0,0,20,0,0,23,0,0,0,0,0,6,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Kyle Walker,MCI,$4000,D,1,90,0,0,90,0,0,0,0,0,90,0,0,90,1,0,0,0,0,0,0,0,45,0,0,90,0,0,54,0,0,90,0,0,90,0,0,89,0,0,90,0,0,90,0,0
Oleksandr Zinchenko,MCI,$4500,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,90,0,0,0,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0
Gabriel Jesus,MCI,$8300,F,1,90,0,0,84,0,0,13,0,0,19,0,0,45,1,0,90,0,0,90,0,0,15,0,0,66,0,0,0,0,0,33,0,0,0,0,0,0,0,0,24,0,0,69,0,0
Ashley Young,MUN,$4600,D,47,90,0,0,0,0,0,0,0,0,0,0,0,90,4,0,90,0,0,90,2,0,86,10,0,90,9,0,90,7,0,90,4,0,90,4,0,56,7,0,0,0,0,0,0,0
Andreas Pereira,MUN,$5100,M,33,10,0,0,90,4,0,73,2,0,70,6,0,68,5,0,82,10,0,89,2,0,90,1,1,74,0,0,90,0,0,90,0,1,68,0,0,0,0,0,1,0,0,74,3,0
Fred,MUN,$3900,M,12,90,3,0,90,5,0,90,2,0,90,2,1,90,0,0,90,0,0,90,0,0,90,0,0,16,0,0,19,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,MUN,$8200,F,6,90,0,1,90,1,0,90,0,0,89,0,1,90,0,0,90,0,1,84,0,0,90,0,0,90,0,1,61,0,0,90,0,1,90,0,0,90,3,2,89,2,1,86,0,0
Luke Shaw,MUN,$3800,D,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,90,2,0,90,0,0
Daniel James,MUN,$6700,M,4,90,1,0,90,0,0,90,0,0,90,0,0,80,1,0,80,0,0,90,0,0,90,0,0,90,0,0,90,0,0,89,0,0,90,0,0,90,0,0,89,1,0,16,1,0
Juan Mata,MUN,$3400,M,2,0,0,0,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,81,0,0,70,0,0,68,0,0,5,0,0,9,1,0,4,0,0
Jesse Lingard,MUN,$4200,M,2,87,0,0,16,0,0,45,0,0,20,0,0,22,0,0,10,0,0,0,0,0,0,0,0,74,0,0,29,1,0,0,0,0,22,0,0,56,0,0,81,1,0,86,0,0
Brandon Williams,MUN,$3300,D,1,0,0,0,79,0,0,90,0,0,89,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Lamela,TOT,$6700,M/F,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,1,90,2,0,26,1,0,79,2,0,90,3,0,60,2,0,62,3,0,85,2,0,88,9,1
Christian Eriksen,TOT,$6500,M,34,26,2,0,0,0,0,11,0,0,0,0,0,89,4,0,88,3,0,0,0,0,90,2,1,90,5,0,11,3,0,90,2,1,90,6,1,28,2,0,89,0,0,26,5,1
Harry Winks,TOT,$3500,M,6,70,1,0,1,0,0,90,5,0,45,0,0,0,0,0,63,0,0,70,0,0,45,0,0,89,0,0,90,0,0,67,0,0,90,0,0,90,0,0,56,0,0,64,0,0
Son Heung-Min,TOT,$8600,M/F,5,90,0,0,88,1,0,90,1,0,90,2,0,79,0,0,90,0,0,45,0,0,73,0,0,64,0,0,90,0,0,90,0,0,79,0,0,90,1,0,0,0,0,0,0,0
Tanguy Ndombele,TOT,$5200,M,5,20,0,0,74,3,0,0,0,0,45,2,0,73,0,0,27,0,0,20,0,0,45,0,0,78,0,0,86,0,0,23,0,0,0,0,0,0,0,0,90,0,0,89,0,0
Danny Rose,TOT,$4100,D,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,90,2,0,90,1,0,0,0,0,90,0,0,90,1,0,76,0,0,90,0,0,88,0,0,90,0,0,90,0,0
Dele Alli,TOT,$7500,M,2,90,0,0,89,0,0,79,1,0,72,0,0,90,0,0,90,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
Giovani Lo Celso,TOT,$5900,M,1,5,0,0,2,0,0,0,0,0,90,1,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,28,0,0,5,0,0,0,0,0
Jose Holebas,WAT,$5100,D,44,0,0,0,90,5,0,90,6,0,88,4,0,0,0,0,0,0,0,90,2,0,90,0,0,90,3,0,90,0,0,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Gerard Deulofeu,WAT,$6600,F,38,77,5,0,67,3,0,90,4,2,70,1,0,90,2,0,90,6,0,86,0,2,31,0,0,45,3,0,77,4,1,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Roberto Pereyra,WAT,$4500,M,11,0,0,0,0,0,0,0,0,0,31,0,0,90,0,0,90,1,0,84,0,0,90,7,0,45,2,0,57,0,0,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Tom Cleverley,WAT,$5100,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Will Hughes,WAT,$4300,M,1,83,1,0,74,0,0,67,0,0,90,0,0,23,0,0,80,0,0,6,0,0,0,0,0,0,0,0,59,0,0,63,0,0,71,0,0,74,0,0,67,0,0,90,0,0
Nathaniel Chalobah,WAT,$3200,M,1,0,0,0,16,1,0,0,0,0,0,0,0,67,0,0,57,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Kiko Femenia,WAT,$3800,D,1,90,0,0,82,0,0,90,0,0,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
