,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Harry Kane,TOT,CHE,$8300,F,-125,55.56
Marcus Rashford,MUN,WAT,$9500,F,-105,51.22
Tammy Abraham,CHE,TOT,$8000,F,-100,50.00
Anthony Martial,MUN,WAT,$7300,M/F,110,47.62
Mason Greenwood,MUN,WAT,$6900,F,140,41.67
Olivier Giroud,CHE,TOT,$5800,F,145,40.82
Paul Pogba,MUN,WAT,$6600,M,150,40.00
Michy Batshuayi,CHE,TOT,$7700,F,160,38.46
Troy Parrott,TOT,CHE,$4300,F,170,37.04
Son Heung-Min,TOT,CHE,$8500,M/F,175,36.36
Lucas Moura,TOT,CHE,$7400,M/F,190,34.48
Dele Alli,TOT,CHE,$7500,M,195,33.90
Daniel James,MUN,WAT,$7800,M,210,32.26
Jesse Lingard,MUN,WAT,$3900,M,240,29.41
Willian,CHE,TOT,$8700,M/F,250,28.57
Christian Eriksen,TOT,CHE,$6700,M,250,28.57
Callum Hudson-Odoi,CHE,TOT,$7200,F,250,28.57
Troy Deeney,WAT,MUN,$4800,F,260,27.78
Andre Gray,WAT,MUN,$3900,F,260,27.78
Pedro,CHE,TOT,$6400,M/F,260,27.78
Gerard Deulofeu,WAT,MUN,$6700,F,270,27.03
Christian Pulisic,CHE,TOT,$7900,M/F,270,27.03
Mason Mount,CHE,TOT,$6500,M,280,26.32
Erik Lamela,TOT,CHE,$6800,M/F,330,23.26
Ross Barkley,CHE,TOT,$5900,M,360,21.74
Giovani Lo Celso,TOT,CHE,$6200,M,380,20.83
N'Golo Kante,CHE,TOT,$5100,M,400,20.00
Juan Mata,MUN,WAT,$3300,M,410,19.61
Scott McTominay,MUN,WAT,$5700,M,410,19.61
Isaac Success,WAT,MUN,$3600,F,420,19.23
Ismaila Sarr,WAT,MUN,$6000,M/F,430,18.87
Tanguy Ndombele,TOT,CHE,$5600,M,450,18.18
Roberto Pereyra,WAT,MUN,$4100,M,460,17.86
Jorginho,CHE,TOT,$4300,M,480,17.24
Andreas Pereira,MUN,WAT,$5100,M,490,16.95
Abdoulaye Doucoure,WAT,MUN,$3000,M,600,14.29
Harry Maguire,MUN,WAT,$3700,D,600,14.29
Domingos Quina,WAT,MUN,$3000,M,600,14.29
Ryan Sessegnon,TOT,CHE,$3000,M,600,14.29
Ashley Young,MUN,WAT,$4700,D,600,14.29
Will Hughes,WAT,MUN,$3400,M,650,13.33
Tom Cleverley,WAT,MUN,$4900,M,700,12.50
Diogo Dalot,MUN,WAT,$3400,D,700,12.50
James Garner,MUN,WAT,$3000,M,700,12.50
Marcos Alonso,CHE,TOT,$5200,D,750,11.76
Moussa Sissoko,TOT,CHE,$3600,M,750,11.76
Eric Dier,TOT,CHE,$3000,M,800,11.11
Nemanja Matic,MUN,WAT,$3000,M,850,10.53
Fred,MUN,WAT,$5800,M,850,10.53
Jose Holebas,WAT,MUN,$4800,D,900,10.00
Mateo Kovacic,CHE,TOT,$4400,M,900,10.00
Etienne Capoue,WAT,MUN,$3000,M,1000,9.09
Luke Shaw,MUN,WAT,$4000,D,1000,9.09
Craig Dawson,WAT,MUN,$2600,D,1100,8.33
Nathaniel Chalobah,WAT,MUN,$3000,M,1200,7.69
Dimitri Foulquier,WAT,MUN,$3100,D,1200,7.69
Reece James,CHE,TOT,$4700,D,1200,7.69
Axel Tuanzebe,MUN,WAT,$2500,D,1200,7.69
Brandon Williams,MUN,WAT,$3100,D,1300,7.14
Juan Foyth,TOT,CHE,$2500,D,1400,6.67
Christian Kabasele,WAT,MUN,$2600,D,1400,6.67
Oliver Skipp,TOT,CHE,$3000,M,1400,6.67
Jan Vertonghen,TOT,CHE,$4300,D,1400,6.67
Harry Winks,TOT,CHE,$3000,M,1400,6.67
Antonio Rudiger,CHE,TOT,$2800,D,1500,6.25
Kurt Zouma,CHE,TOT,$3300,D,1500,6.25
Toby Alderweireld,TOT,CHE,$2900,D,1600,5.88
Craig Cathcart,WAT,MUN,$2700,D,1600,5.88
Daryl Janmaat,WAT,MUN,$4000,D,1600,5.88
Victor Lindelof,MUN,WAT,$2800,D,1600,5.88
Marcos Rojo,MUN,WAT,$2600,D,1600,5.88
Serge Aurier,TOT,CHE,$5300,D,1700,5.56
Danny Rose,TOT,CHE,$4500,D,1700,5.56
Sebastian Prodl,WAT,MUN,$2700,D,1800,5.26
Phil Jones,MUN,WAT,$2800,D,2100,4.55
Kiko Femenia,WAT,MUN,$4300,D,2200,4.35
Davinson Sanchez,TOT,CHE,$2500,D,2200,4.35
Adam Masina,WAT,MUN,$3700,D,2300,4.17
Kyle Walker-Peters,TOT,CHE,$3800,D,2300,4.17
Andreas Christensen,CHE,TOT,$2600,D,2400,4.00
Fikayo Tomori,CHE,TOT,$2500,D,2400,4.00
Adrian Mariappa,WAT,MUN,$2700,D,2700,3.57
Cesar Azpilicueta,CHE,TOT,$4400,D,2900,3.33
Aaron Wan-Bissaka,MUN,WAT,$4900,D,3100,3.13
