,,,,,Game 17,,,Game 16,,,Game 15,,,Game 14,,,Game 13,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Jack Grealish,AVL,$9100,M,39,90,0,0,90,3,0,90,5,0,90,8,0,90,7,0,0,0,0,0,0,0,84,3,0,90,1,0,90,1,0,90,1,0,90,4,0,90,1,0,90,0,0,90,0,0,90,5,0,90,0,0
Conor Hourihane,AVL,$6600,M,34,0,0,0,0,0,0,58,1,0,81,5,0,89,7,1,0,0,0,17,1,0,0,0,0,63,5,2,78,4,0,90,7,1,5,1,0,0,0,0,19,2,0,0,0,0,0,0,0,82,1,0
John McGinn,AVL,$6900,M,25,90,2,0,90,5,0,90,1,0,90,0,0,90,0,0,90,3,0,90,2,0,90,5,0,90,2,0,90,1,0,90,0,0,90,1,1,90,0,0,90,0,0,90,0,0,90,3,0,90,0,0
Anwar El Ghazi,AVL,$7200,M,13,80,0,0,90,3,0,0,0,0,18,0,0,90,1,0,90,3,1,90,1,0,6,0,0,76,0,0,64,0,0,70,1,0,86,0,1,90,2,0,0,0,0,13,0,0,75,2,1,90,0,0
Trezeguet,AVL,$6300,M,4,10,0,0,31,0,0,76,0,0,72,0,0,0,0,0,90,0,0,90,0,0,90,0,0,27,0,0,26,0,0,20,2,0,68,0,0,0,0,0,54,0,1,86,1,0,87,1,0,59,0,0
Matt Targett,AVL,$5100,D,3,90,0,0,78,3,0,90,0,0,90,0,0,90,0,0,45,0,0,90,0,0,90,0,0,90,0,1,90,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Gross,BHA,$8900,M/F,60,89,9,0,68,4,0,80,11,1,90,3,0,0,0,0,31,1,0,59,6,0,66,1,1,90,5,0,90,2,1,90,3,0,81,3,0,90,4,0,16,1,0,12,1,0,67,4,0,90,2,0
Aaron Mooy,BHA,$5500,M,16,90,0,0,90,1,0,90,0,0,90,2,0,90,6,0,0,0,0,0,0,0,0,0,0,35,1,0,90,3,0,65,0,0,70,1,0,10,0,0,0,0,0,0,0,0,5,2,0,0,0,0
Leandro Trossard,BHA,$7100,F,11,84,0,0,68,0,0,10,0,0,21,0,0,90,0,0,59,3,0,31,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,90,4,0,85,0,0,0,0,0
Solomon March,BHA,$5800,M,6,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,89,0,0,90,0,0,68,2,0,90,3,0,89,0,0
Ryan Fraser,BOU,$6800,M,52,90,4,0,90,1,0,26,2,0,63,4,0,90,3,0,90,7,0,90,1,0,90,4,0,90,6,0,27,1,0,0,0,0,27,1,0,33,2,1,90,2,0,90,4,0,90,4,0,90,6,1
Diego Rico,BOU,$6000,D,52,90,2,0,90,0,0,64,6,0,90,6,0,90,4,0,66,1,0,90,2,0,90,9,1,90,3,0,90,5,0,90,5,0,90,4,0,89,4,0,0,0,0,0,0,0,0,0,0,90,1,0
Harry Wilson,BOU,$6100,M,12,0,0,0,0,0,0,90,3,0,27,0,1,45,0,0,66,0,1,86,2,1,29,0,1,69,0,1,79,0,0,77,1,0,63,0,0,57,0,2,64,2,0,53,2,1,76,2,0,0,0,0
Jordon Ibe,BOU,$4600,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,22,0,0,0,0,0,0,0,0
Charlie Daniels,BOU,$4100,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,90,1,0,0,0,0
Joshua King,BOU,$6400,F,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,0,0,28,0,0,90,0,0,90,0,0,89,0,0,90,1,0,79,0,0,90,0,0,90,0,0,90,0,0
Lewis Cook,BOU,$3900,M,1,90,0,0,32,0,0,8,0,0,74,0,0,76,0,0,90,0,0,4,0,0,0,0,0,90,0,0,0,0,0,1,0,0,13,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
