,,,,,Game 18,,,Game 17,,,Game 16,,,Game 15,,,Game 14,,,Game 13,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Mesut Ozil,ARS,$7000,M,51,0,0,0,59,5,0,90,4,0,90,9,0,89,13,0,90,9,0,90,4,0,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pepe,ARS,$8000,F,45,0,0,0,90,2,0,88,0,0,45,0,1,0,0,0,45,0,0,13,0,0,0,0,0,90,11,1,78,8,1,63,4,0,74,4,0,90,6,0,90,0,0,90,6,1,90,1,0,45,3,0,19,0,0
Dani Ceballos,ARS,$5800,M,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3,0,90,2,0,45,4,0,75,7,0,35,3,0,72,2,0,60,1,0,27,3,0,61,0,0,83,8,0,26,0,0
Reiss Nelson,ARS,$6300,M/F,10,90,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,19,0,0,0,0,0,0,0,0,45,1,0,71,2,0
Lucas Torreira,ARS,$5000,M,8,90,0,0,81,0,0,90,0,0,90,0,0,20,0,0,83,1,0,80,0,0,73,0,0,0,0,0,0,0,0,7,2,0,55,0,0,18,1,0,23,0,0,63,2,0,29,2,0,7,0,0,0,0,0
Bukayo Saka,ARS,$5600,M/F,2,90,0,0,50,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,17,0,0,29,0,0,90,0,0,83,1,0,80,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo Guendouzi,ARS,$4200,M,1,0,0,0,90,0,0,4,0,0,0,0,0,78,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,67,0,0,90,0,0,86,1,0,90,0,0,90,0,0
Jack Grealish,AVL,$9500,M,43,90,4,0,90,0,0,90,3,0,90,5,0,90,8,0,90,7,0,0,0,0,0,0,0,84,3,0,90,1,0,90,1,0,90,1,0,90,4,0,90,1,0,90,0,0,90,0,0,90,5,0,90,0,0
Conor Hourihane,AVL,$6700,M,35,56,1,0,0,0,0,0,0,0,58,1,0,81,5,0,89,7,1,0,0,0,17,1,0,0,0,0,63,5,2,78,4,0,90,7,1,5,1,0,0,0,0,19,2,0,0,0,0,0,0,0,82,1,0
