Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M,Kevin De Bruyne (14050908),Kevin De Bruyne,14050908,M/UTIL,11000,MCI vs SHU 01:00PM ET,MCI,23.25
M/F,Mohamed Salah (14051080),Mohamed Salah,14051080,M/F/UTIL,9800,LIV vs WOL 11:30AM ET,LIV,16.78
M/F,Sadio Mane (14051083),Sadio Mane,14051083,M/F/UTIL,9600,LIV vs WOL 11:30AM ET,LIV,16.01
F,Sergio Aguero (14051026),Sergio Aguero,14051026,F/UTIL,9300,MCI vs SHU 01:00PM ET,MCI,12.87
M/F, Willian (14051086), Willian,14051086,M/F/UTIL,9200,ARS vs CHE 09:00AM ET,CHE,14.07
M/F,Raheem Sterling (14051089),Raheem Sterling,14051089,M/F/UTIL,9000,MCI vs SHU 01:00PM ET,MCI,15.59
M/F,Riyad Mahrez (14051092),Riyad Mahrez,14051092,M/F/UTIL,8700,MCI vs SHU 01:00PM ET,MCI,13.91
F,Gabriel Jesus (14051028),Gabriel Jesus,14051028,F/UTIL,8500,MCI vs SHU 01:00PM ET,MCI,10.87
F,Tammy Abraham (14051030),Tammy Abraham,14051030,F/UTIL,8300,ARS vs CHE 09:00AM ET,CHE,13.43
M/F,Roberto Firmino (14051095),Roberto Firmino,14051095,M/F/UTIL,8200,LIV vs WOL 11:30AM ET,LIV,11.36
M/F,Bernardo Silva (14051098),Bernardo Silva,14051098,M/F/UTIL,8000,MCI vs SHU 01:00PM ET,MCI,11.91
F,Pierre-Emerick Aubameyang (14051032),Pierre-Emerick Aubameyang,14051032,F/UTIL,7900,ARS vs CHE 09:00AM ET,ARS,13.87
F,Divock Origi (14051034),Divock Origi,14051034,F/UTIL,7700,LIV vs WOL 11:30AM ET,LIV,5.62
D,Trent Alexander-Arnold (14050766),Trent Alexander-Arnold,14050766,D/UTIL,7500,LIV vs WOL 11:30AM ET,LIV,19.01
M/F,Leroy Sane (14051101),Leroy Sane,14051101,M/F/UTIL,7500,MCI vs SHU 01:00PM ET,MCI,0
F,Nicolas Pepe (14051036),Nicolas Pepe,14051036,F/UTIL,7400,ARS vs CHE 09:00AM ET,ARS,10.47
M/F,Christian Pulisic (14051104),Christian Pulisic,14051104,M/F/UTIL,7300,ARS vs CHE 09:00AM ET,CHE,11.36
M,Mason Mount (14050910),Mason Mount,14050910,M/UTIL,7200,ARS vs CHE 09:00AM ET,CHE,12.45
M/F,Gabriel Martinelli (14051107),Gabriel Martinelli,14051107,M/F/UTIL,7200,ARS vs CHE 09:00AM ET,ARS,4.40
M/F,Adama Traore (14051113),Adama Traore,14051113,M/F/UTIL,7100,LIV vs WOL 11:30AM ET,WOL,13.80
F,Callum Hudson-Odoi (14051038),Callum Hudson-Odoi,14051038,F/UTIL,7000,ARS vs CHE 09:00AM ET,CHE,5.96
M/F,Alex Oxlade-Chamberlain (14051110),Alex Oxlade-Chamberlain,14051110,M/F/UTIL,6900,LIV vs WOL 11:30AM ET,LIV,4.88
M,Phil Foden (14050912),Phil Foden,14050912,M/UTIL,6900,MCI vs SHU 01:00PM ET,MCI,3.17
F,Raul Jimenez (14051040),Raul Jimenez,14051040,F/UTIL,6800,LIV vs WOL 11:30AM ET,WOL,14.12
