,,,,,Game 19,,,Game 18,,,Game 17,,,Game 16,,,Game 15,,,Game 14,,,Game 13,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Mesut Ozil,ARS,$6000,M,54,75,3,0,0,0,0,59,5,0,90,4,0,90,9,0,89,13,0,90,9,0,90,4,0,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pepe,ARS,$7400,F,45,8,0,0,0,0,0,90,2,0,88,0,0,45,0,1,0,0,0,45,0,0,13,0,0,0,0,0,90,11,1,78,8,1,63,4,0,74,4,0,90,6,0,90,0,0,90,6,1,90,1,0,45,3,0,19,0,0
Dani Ceballos,ARS,$5100,M,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3,0,90,2,0,45,4,0,75,7,0,35,3,0,72,2,0,60,1,0,27,3,0,61,0,0,83,8,0,26,0,0
Reiss Nelson,ARS,$5200,M/F,10,82,0,0,90,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,19,0,0,0,0,0,0,0,0,45,1,0,71,2,0
Lucas Torreira,ARS,$4600,M,8,90,0,0,90,0,0,81,0,0,90,0,0,90,0,0,20,0,0,83,1,0,80,0,0,73,0,0,0,0,0,0,0,0,7,2,0,55,0,0,18,1,0,23,0,0,63,2,0,29,2,0,7,0,0,0,0,0
Bukayo Saka,ARS,$4800,M/F,2,90,0,0,90,0,0,50,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,17,0,0,29,0,0,90,0,0,83,1,0,80,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo Guendouzi,ARS,$3600,M,1,0,0,0,0,0,0,90,0,0,4,0,0,0,0,0,78,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,67,0,0,90,0,0,86,1,0,90,0,0,90,0,0
Mason Mount,CHE,$7200,M,70,45,1,1,90,1,1,90,1,0,90,3,0,90,2,0,90,6,0,16,0,1,87,1,1,90,0,1,90,7,1,64,7,0,80,4,0,90,4,0,90,5,0,90,6,0,90,3,0,89,8,0,90,5,1,90,6,0
Willian,CHE,$9200,M/F,49,84,2,0,90,5,0,65,7,1,71,4,0,89,7,1,27,1,0,90,2,0,90,7,2,89,1,0,72,0,0,90,5,1,90,2,0,90,2,0,90,1,0,90,1,0,30,1,0,6,0,0,19,1,0,0,0,0
Emerson Palmieri,CHE,$4900,D,12,90,6,0,0,0,0,90,2,0,0,0,0,0,0,0,90,2,0,59,0,0,90,0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,90,0,0,90,1,0,90,0,0,90,0,0
Callum Hudson-Odoi,CHE,$7000,F,5,67,0,0,0,0,0,25,1,0,19,0,0,4,0,0,19,1,0,0,0,0,10,1,0,7,0,0,18,0,0,89,2,0,80,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Pulisic,CHE,$7300,M/F,4,23,0,0,0,0,0,65,0,0,90,0,0,86,0,0,90,0,0,90,0,0,80,0,0,83,4,0,90,0,0,26,0,0,10,0,0,0,0,0,0,0,0,0,0,0,90,0,0,84,0,0,71,0,0,32,0,0
Reece James,CHE,$4700,D,2,0,0,0,10,0,0,0,0,0,82,1,0,90,0,0,90,1,0,31,0,0,90,0,0,1,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,CHE,$5500,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,68,0,0,0,0,0,20,0,0,60,0,1,90,1,0,0,0,0,58,0,0
Marcos Alonso,CHE,$5400,D,1,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,90,0,0,90,0,0,90,0,0,75,1,0,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,LIV,$7500,D,87,0,0,0,90,6,0,90,4,0,50,1,0,83,2,0,90,5,0,90,8,0,90,3,0,90,12,1,90,11,1,90,2,0,90,5,0,90,4,1,90,4,0,90,5,0,90,2,0,90,5,0,90,5,0,90,3,1
Mohamed Salah,LIV,$9800,M/F,21,0,0,0,70,0,0,90,0,0,90,0,0,0,0,0,69,0,0,0,0,0,87,0,0,65,0,0,85,0,0,0,0,0,89,0,1,90,2,0,89,0,0,90,5,0,90,3,0,90,1,0,79,3,1,90,7,0
James Milner,LIV,$6200,M,6,0,0,0,20,0,0,90,2,0,90,2,0,90,0,0,0,0,0,11,0,0,29,1,0,0,0,0,13,0,0,0,0,0,90,0,0,3,0,0,19,0,0,15,0,0,0,0,0,21,0,0,74,1,0,4,0,0
Xherdan Shaqiri,LIV,$6600,M/F,5,0,0,0,0,0,0,70,0,0,3,0,0,90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Andrew Robertson,LIV,$6000,D,5,0,0,0,90,2,0,31,0,0,76,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0
