,,,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Pascal Gross,BHA,$8000,M/F,12,90,4,0,16,1,0,12,1,0,67,4,0,90,2,0
Solomon March,BHA,$5300,M,5,89,0,0,90,0,0,68,2,0,90,3,0,89,0,0
Leandro Trossard,BHA,$7500,F,5,0,0,0,74,1,0,90,4,0,85,0,0,0,0,0
Aaron Mooy,BHA,$5200,M,2,10,0,0,0,0,0,0,0,0,5,2,0,0,0,0
Dwight McNeil,BUR,$7300,M/F,17,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Ashley Westwood,BUR,$4000,M,8,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Johann Berg Gudmundsson,BUR,$6700,M/F,6,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Lucas Digne,EVE,$5700,D,17,90,5,0,90,3,0,90,4,0,73,4,1,90,1,0
Gylfi Sigurdsson,EVE,$5800,M/F,12,71,2,0,90,7,0,61,1,0,90,1,0,79,1,0
Richarlison,EVE,$6300,M/F,1,81,0,0,90,0,0,78,1,0,63,0,0,90,0,0
Kevin De Bruyne,MCI,$10100,M,29,33,10,0,69,4,0,90,5,0,90,9,0,79,1,0
Ilkay Gundogan,MCI,$5500,M,7,57,6,0,21,0,1,58,0,0,90,1,0,11,0,0
Riyad Mahrez,MCI,$9000,M/F,7,17,3,0,90,4,0,11,0,0,10,0,0,90,0,0
Bernardo Silva,MCI,$8100,M/F,4,73,0,0,12,1,0,79,0,0,80,3,0,0,0,0
Matt Ritchie,NEW,$6900,M,14,0,0,0,0,0,0,90,6,0,90,5,0,90,3,0
Christian Atsu,NEW,$4700,M,5,90,0,0,82,5,0,73,0,0,0,0,0,0,0,0
Jonjo Shelvey,NEW,$7000,M,4,90,1,0,0,0,0,0,0,0,90,1,0,54,2,0
Sean Longstaff,NEW,$4100,M,3,0,0,0,90,3,1,90,0,0,16,0,0,67,0,0
Ki Sung-yueng,NEW,$3700,M,1,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0
Emiliano Buendia,NOR,$6200,M,23,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
Oliver Norwood,SHU,$5600,M,23,90,7,0,90,4,0,90,4,1,90,6,0,90,2,0
John Fleck,SHU,$6500,M,11,90,7,0,0,0,0,0,0,0,29,1,0,90,3,0
Luke Freeman,SHU,$4400,M,6,0,0,0,79,0,0,90,3,0,61,3,0,12,0,0
Jose Holebas,WAT,$5100,D,24,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Gerard Deulofeu,WAT,$6600,F,10,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Tom Cleverley,WAT,$5100,M,4,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Roberto Pereyra,WAT,$4500,M,1,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Kiko Femenia,WAT,$3800,D,1,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
