,,,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Jack Grealish,AVL,$8700,M,10,90,4,0,90,1,0,90,0,0,90,0,0,90,5,0,90,0,0
Anwar El Ghazi,AVL,$6800,M,4,86,0,1,90,2,0,0,0,0,13,0,0,75,2,1,90,0,0
Conor Hourihane,AVL,$5700,M,4,5,1,0,0,0,0,19,2,0,0,0,0,0,0,0,82,1,0
John McGinn,AVL,$6000,M,4,90,1,1,90,0,0,90,0,0,90,0,0,90,3,0,90,0,0
Trezeguet,AVL,$5300,M,2,68,0,0,0,0,0,54,0,1,86,1,0,87,1,0,59,0,0
Pascal Gross,BHA,$8000,M/F,15,81,3,0,90,4,0,16,1,0,12,1,0,67,4,0,90,2,0
Solomon March,BHA,$5300,M,5,0,0,0,89,0,0,90,0,0,68,2,0,90,3,0,89,0,0
Leandro Trossard,BHA,$7500,F,5,0,0,0,0,0,0,74,1,0,90,4,0,85,0,0,0,0,0
Aaron Mooy,BHA,$5200,M,3,70,1,0,10,0,0,0,0,0,0,0,0,5,2,0,0,0,0
Ryan Fraser,BOU,$5200,M,19,27,1,0,33,2,1,90,2,0,90,4,0,90,4,0,90,6,1
Diego Rico,BOU,$4900,D,9,90,4,0,89,4,0,0,0,0,0,0,0,0,0,0,90,1,0
Harry Wilson,BOU,$4900,M,6,63,0,0,57,0,2,64,2,0,53,2,1,76,2,0,0,0,0
Jordon Ibe,BOU,$3500,M/F,1,0,0,0,0,0,0,26,1,0,22,0,0,0,0,0,0,0,0
Charlie Daniels,BOU,$3800,D,1,0,0,0,0,0,0,0,0,0,37,0,0,90,1,0,0,0,0
Joshua King,BOU,$4500,F,1,89,0,0,90,1,0,79,0,0,90,0,0,90,0,0,90,0,0
Lewis Cook,BOU,$3400,M,1,13,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight McNeil,BUR,$7300,M/F,19,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Ashley Westwood,BUR,$4000,M,14,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Johann Berg Gudmundsson,BUR,$6700,M/F,6,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Mason Mount,CHE,$8300,M,33,90,5,0,90,6,0,90,3,0,89,8,0,90,5,1,90,6,0
Willian,CHE,$9500,M/F,4,90,1,0,90,1,0,30,1,0,6,0,0,19,1,0,0,0,0
Ross Barkley,CHE,$6400,M,1,0,0,0,20,0,0,60,0,1,90,1,0,0,0,0,58,0,0
Emerson Palmieri,CHE,$5500,D,1,15,0,0,0,0,0,90,0,0,90,1,0,90,0,0,90,0,0
Marcos Alonso,CHE,$5700,D,1,75,1,0,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Luka Milivojevic,CRY,$6600,M,42,90,7,0,90,6,0,90,17,1,90,2,0,90,7,1,90,3,0
Andros Townsend,CRY,$5700,M/F,4,0,0,0,85,0,0,6,0,0,10,0,0,70,0,0,90,4,0
Emiliano Buendia,NOR,$6200,M,26,90,3,0,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
James Ward-Prowse,SOU,$8000,M,29,90,4,0,90,7,0,90,2,0,90,5,2,90,6,0,90,5,0
Ryan Bertrand,SOU,$5100,D,3,45,0,0,0,0,0,0,0,0,0,0,0,77,1,0,90,2,1
Erik Lamela,TOT,$6700,M/F,21,79,2,0,90,3,0,60,2,0,62,3,0,85,2,0,88,9,1
Christian Eriksen,TOT,$6500,M,18,11,3,0,90,2,1,90,6,1,28,2,0,89,0,0,26,5,1
Danny Rose,TOT,$4100,D,1,90,1,0,76,0,0,90,0,0,88,0,0,90,0,0,90,0,0
Son Heung-Min,TOT,$8600,M/F,1,90,0,0,90,0,0,79,0,0,90,1,0,0,0,0,0,0,0
Jose Holebas,WAT,$5100,D,24,90,0,0,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Gerard Deulofeu,WAT,$6600,F,14,77,4,1,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Tom Cleverley,WAT,$5100,M,4,90,0,0,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Roberto Pereyra,WAT,$4500,M,1,57,0,0,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Kiko Femenia,WAT,$3800,D,1,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
Manuel Lanzini,WHU,$6100,M,19,0,0,0,90,3,0,90,6,0,88,8,0,90,2,0,90,0,0
Robert Snodgrass,WHU,$6300,M,9,1,0,0,0,0,0,19,2,0,0,0,0,90,4,0,34,3,0
Pablo Fornals,WHU,$4500,M,4,90,3,0,28,1,0,2,0,0,12,0,0,77,0,0,45,0,0
Felipe Anderson,WHU,$5000,M,2,70,0,0,69,2,0,88,0,0,78,0,0,0,0,0,66,0,0
Joao Moutinho,WLV,$6000,M,29,90,8,0,90,9,0,31,1,0,59,3,0,90,5,0,90,3,0
Ruben Neves,WLV,$3200,M,11,33,0,0,90,0,0,84,8,0,90,3,0,90,0,0,81,0,0
Pedro Neto,WLV,$5600,F,1,25,0,0,0,0,0,6,0,0,23,1,0,4,0,0,0,0,0
