,,,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Jack Grealish,AVL,$8700,M,11,90,1,0,90,4,0,90,1,0,90,0,0,90,0,0,90,5,0,90,0,0
Conor Hourihane,AVL,$5700,M,11,90,7,1,5,1,0,0,0,0,19,2,0,0,0,0,0,0,0,82,1,0
Anwar El Ghazi,AVL,$6800,M,5,70,1,0,86,0,1,90,2,0,0,0,0,13,0,0,75,2,1,90,0,0
Trezeguet,AVL,$5300,M,4,20,2,0,68,0,0,0,0,0,54,0,1,86,1,0,87,1,0,59,0,0
John McGinn,AVL,$6000,M,4,90,0,0,90,1,1,90,0,0,90,0,0,90,0,0,90,3,0,90,0,0
Dwight McNeil,BUR,$7300,M/F,21,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Ashley Westwood,BUR,$4000,M,15,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Johann Berg Gudmundsson,BUR,$6700,M/F,6,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Luka Milivojevic,CRY,$6600,M,48,90,6,0,90,7,0,90,6,0,90,17,1,90,2,0,90,7,1,90,3,0
Andros Townsend,CRY,$5700,M/F,4,20,0,0,0,0,0,85,0,0,6,0,0,10,0,0,70,0,0,90,4,0
Lucas Digne,EVE,$5700,D,28,90,3,1,90,8,1,90,5,0,90,3,0,90,4,0,73,4,1,90,1,0
Gylfi Sigurdsson,EVE,$5800,M/F,22,90,5,0,90,5,0,71,2,0,90,7,0,61,1,0,90,1,0,79,1,0
Richarlison,EVE,$6300,M/F,1,90,0,0,90,0,0,81,0,0,90,0,0,78,1,0,63,0,0,90,0,0
James Maddison,LEI,$10300,M,45,0,0,0,90,8,0,90,8,1,86,2,0,90,4,1,90,8,0,90,15,0
Youri Tielemans,LEI,$7200,M,12,90,10,0,84,0,0,90,0,0,90,2,0,89,0,0,90,0,0,90,0,0
Ben Chilwell,LEI,$5300,D,2,90,1,0,90,0,0,90,1,0,90,0,0,0,0,0,0,0,0,90,0,0
Trent Alexander-Arnold,LIV,$7300,D,28,90,4,1,90,4,0,90,5,0,90,2,0,90,5,0,90,5,0,90,3,1
Mohamed Salah,LIV,$9800,M/F,21,90,2,0,89,0,0,90,5,0,90,3,0,90,1,0,79,3,1,90,7,0
Jordan Henderson,LIV,$5100,M,2,64,0,0,84,0,0,0,0,0,71,0,0,90,0,0,1,0,0,90,2,0
James Milner,LIV,$5900,M,1,3,0,0,19,0,0,15,0,0,0,0,0,21,0,0,74,1,0,4,0,0
Xherdan Shaqiri,LIV,$6900,M/F,1,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Andrew Robertson,LIV,$5500,D,1,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0
Emiliano Buendia,NOR,$6200,M,33,90,7,0,90,3,0,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
Oliver Norwood,SHU,$5600,M,29,77,4,0,64,2,0,90,7,0,90,4,0,90,4,1,90,6,0,90,2,0
John Fleck,SHU,$6500,M,13,90,1,0,90,1,0,90,7,0,0,0,0,0,0,0,29,1,0,90,3,0
Luke Freeman,SHU,$4400,M,6,0,0,0,0,0,0,0,0,0,79,0,0,90,3,0,61,3,0,12,0,0
John Lundstram,SHU,$4800,M,1,90,1,0,90,0,0,72,0,0,90,0,0,90,0,0,90,0,0,78,0,0
Jose Holebas,WAT,$5100,D,27,90,3,0,90,0,0,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Gerard Deulofeu,WAT,$6600,F,17,45,3,0,77,4,1,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Tom Cleverley,WAT,$5100,M,4,90,0,0,90,0,0,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Roberto Pereyra,WAT,$4500,M,3,45,2,0,57,0,0,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Kiko Femenia,WAT,$3800,D,1,0,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
Manuel Lanzini,WHU,$6100,M,19,23,0,0,0,0,0,90,3,0,90,6,0,88,8,0,90,2,0,90,0,0
Pablo Fornals,WHU,$4500,M,10,67,6,0,90,3,0,28,1,0,2,0,0,12,0,0,77,0,0,45,0,0
Robert Snodgrass,WHU,$6300,M,9,0,0,0,1,0,0,0,0,0,19,2,0,0,0,0,90,4,0,34,3,0
Felipe Anderson,WHU,$5000,M,2,90,0,0,70,0,0,69,2,0,88,0,0,78,0,0,0,0,0,66,0,0
