,,,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Player,Team,Salary,Position,Total,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS,MIN,CRN + FKCR,FKS
Conor Hourihane,AVL,$5700,M,15,78,4,0,90,7,1,5,1,0,0,0,0,19,2,0,0,0,0,0,0,0,82,1,0
Jack Grealish,AVL,$8700,M,12,90,1,0,90,1,0,90,4,0,90,1,0,90,0,0,90,0,0,90,5,0,90,0,0
Anwar El Ghazi,AVL,$6800,M,5,64,0,0,70,1,0,86,0,1,90,2,0,0,0,0,13,0,0,75,2,1,90,0,0
John McGinn,AVL,$6000,M,5,90,1,0,90,0,0,90,1,1,90,0,0,90,0,0,90,0,0,90,3,0,90,0,0
Trezeguet,AVL,$5300,M,4,26,0,0,20,2,0,68,0,0,0,0,0,54,0,1,86,1,0,87,1,0,59,0,0
Pascal Gross,BHA,$8000,M/F,20,90,2,1,90,3,0,81,3,0,90,4,0,16,1,0,12,1,0,67,4,0,90,2,0
Aaron Mooy,BHA,$5200,M,6,90,3,0,65,0,0,70,1,0,10,0,0,0,0,0,0,0,0,5,2,0,0,0,0
Solomon March,BHA,$5300,M,5,0,0,0,0,0,0,0,0,0,89,0,0,90,0,0,68,2,0,90,3,0,89,0,0
Leandro Trossard,BHA,$7500,F,5,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,90,4,0,85,0,0,0,0,0
Ryan Fraser,BOU,$5200,M,20,27,1,0,0,0,0,27,1,0,33,2,1,90,2,0,90,4,0,90,4,0,90,6,1
Diego Rico,BOU,$4900,D,19,90,5,0,90,5,0,90,4,0,89,4,0,0,0,0,0,0,0,0,0,0,90,1,0
Harry Wilson,BOU,$4900,M,7,79,0,0,77,1,0,63,0,0,57,0,2,64,2,0,53,2,1,76,2,0,0,0,0
Jordon Ibe,BOU,$3500,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,22,0,0,0,0,0,0,0,0
Charlie Daniels,BOU,$3800,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,90,1,0,0,0,0
Joshua King,BOU,$4500,F,1,90,0,0,90,0,0,89,0,0,90,1,0,79,0,0,90,0,0,90,0,0,90,0,0
Lewis Cook,BOU,$3400,M,1,0,0,0,1,0,0,13,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight McNeil,BUR,$7300,M/F,22,90,1,0,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Ashley Westwood,BUR,$4000,M,19,90,4,0,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Johann Berg Gudmundsson,BUR,$6700,M/F,8,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Mason Mount,CHE,$8300,M,41,80,4,0,90,4,0,90,5,0,90,6,0,90,3,0,89,8,0,90,5,1,90,6,0
Willian,CHE,$9500,M/F,8,90,2,0,90,2,0,90,1,0,90,1,0,30,1,0,6,0,0,19,1,0,0,0,0
Ross Barkley,CHE,$6400,M,1,0,0,0,68,0,0,0,0,0,20,0,0,60,0,1,90,1,0,0,0,0,58,0,0
Emerson Palmieri,CHE,$5500,D,1,0,0,0,0,0,0,15,0,0,0,0,0,90,0,0,90,1,0,90,0,0,90,0,0
Marcos Alonso,CHE,$5700,D,1,90,0,0,90,0,0,75,1,0,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0
James Maddison,LEI,$10300,M,51,86,6,0,0,0,0,90,8,0,90,8,1,86,2,0,90,4,1,90,8,0,90,15,0
Youri Tielemans,LEI,$7200,M,12,90,0,0,90,10,0,84,0,0,90,0,0,90,2,0,89,0,0,90,0,0,90,0,0
Ben Chilwell,LEI,$5300,D,2,90,0,0,90,1,0,90,0,0,90,1,0,90,0,0,0,0,0,0,0,0,90,0,0
Matt Ritchie,NEW,$6900,M,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,0,90,5,0,90,3,0
Jonjo Shelvey,NEW,$7000,M,9,0,0,0,0,0,0,73,5,0,90,1,0,0,0,0,0,0,0,90,1,0,54,2,0
Sean Longstaff,NEW,$4100,M,7,90,4,0,90,0,0,0,0,0,0,0,0,90,3,1,90,0,0,16,0,0,67,0,0
Christian Atsu,NEW,$4700,M,5,7,0,0,90,0,0,90,0,0,90,0,0,82,5,0,73,0,0,0,0,0,0,0,0
Ki Sung-yueng,NEW,$3700,M,4,0,0,0,45,0,0,17,3,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0
Emiliano Buendia,NOR,$6200,M,43,90,10,0,90,7,0,90,3,0,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
James Ward-Prowse,SOU,$8000,M,39,90,4,1,90,6,1,90,4,0,90,7,0,90,2,0,90,5,2,90,6,0,90,5,0
Ryan Bertrand,SOU,$5100,D,8,90,2,0,90,3,0,45,0,0,0,0,0,0,0,0,0,0,0,77,1,0,90,2,1
Christian Eriksen,TOT,$6500,M,25,90,2,1,90,5,0,11,3,0,90,2,1,90,6,1,28,2,0,89,0,0,26,5,1
Erik Lamela,TOT,$6700,M/F,24,90,2,0,26,1,0,79,2,0,90,3,0,60,2,0,62,3,0,85,2,0,88,9,1
