Symbol,FinalSettlementPrice,EvaluationDate,FirstTradeDate,ErisPAIDate,EffectiveDate,CashFlowAlignmentDate,MaturityDate,NPV (A),FixedNPV,FloatingNPV,Coupon (%),FairCoupon (%),FixedPayment,FloatingPayment,NextFixedPaymentDate,NextFixedPaymentAmount,PreviousFixingDate,PreviousFixingRate,NextFloatingPaymentDate,NextFloatingPaymentAmount,NextFixingDate,PreviousSettlementDate,PreviousSettlementPrice,PreviousErisPAI,FedFundsDate,FedFundsRate (%),AccrualDays,DailyIncrementalErisPAI,AccruedCoupons (B),ErisPAI (C),SettlementPrice (100+A+B-C),RFQ NPV TickSize ($),Nominal,ResetRateDescriptor,InterpolationFactor,HighTradePrice,LowTradePrice,LastTradePrice,DailyContractVolume,Tag55(T),Tag65(T),Tag55(T+1),Tag65(T+1),LastTradeDate,InitialSpeculatorMargin,SecondarySpeculatorMargin,InitialHedgerMargin,SecondaryHedgerMargin,ExchangeSymbol (EX005),BloombergTicker,FirstFixingDate,Category,BenchmarkContractName,PV01,DV01,ShortName,EffectiveYearMonth,UnpaidFixedAccrualStartDate,UnpaidFixedAccrual,UnpaidFloatingAccrualStartDate,UnpaidFloatingAccrual,NetUnpaidFixedFloatingAccrual,NPV(A)lessNetUnpaidFixedFloatingAccrual,AccruedCoupons(B)plusNetUnpaidFixedFloatingAccrual
LIYZ12,105.7363,09/26/2019,12/07/2012,12/07/2012,12/19/2012,12/19/2022,12/19/2022,1.0709103078,5.9820176295,-4.9111073217,1.7500000000,1.4367122174,0.0000000000,0.0000000000,12/19/2019,0.8750000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,105.6441,-0.1214855957,09/25/2019,1.9000000000,1,0.0000516540,4.5439278890,-0.1214339417,105.7362721384,"",100,2M-3M,1.0000000000,"","","","","","","","",12/16/2022,908,825,825,825,LIY,LIYZ12,12/17/2012,"","",34.18,31.85,"",201212,06/19/2019,0.4715277778,09/19/2019,0.0420803056,0.4294474722,0.6414628356,4.9733753612
LIYH13,105.4784,09/26/2019,12/07/2012,12/07/2012,03/20/2013,03/20/2023,03/20/2023,0.7307151417,5.9631355484,-5.2324204067,1.7500000000,1.5355571976,0.0000000000,0.0000000000,03/20/2020,0.8750000000,09/18/2019,0.0215588000,12/20/2019,0.5449585556,12/18/2019,09/25/2019,105.3764,-0.1296226455,09/25/2019,1.9000000000,1,0.0000331790,4.6180985002,-0.1295894665,105.4784031083,"",100,2M-3M,1.0000000000,"","","","","","","","",03/17/2023,963,875,875,875,LIY,LIYH13,03/18/2013,"","",34.08,34.24,"",201303,09/20/2019,0.0291666667,09/20/2019,0.0359313333,-0.0067646667,0.7374798084,4.6113338335
LIEZ12,126.2118,09/26/2019,12/07/2012,12/07/2012,12/19/2012,12/19/2042,12/19/2042,16.6334141074,50.0503104892,-33.4168963818,2.5000000000,1.6691652886,0.0000000000,0.0000000000,12/19/2019,1.2500000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,125.4213,-0.1603266907,09/25/2019,1.9000000000,1,0.0008361085,9.4189278890,-0.1594905822,126.2118325786,"",100,2M-3M,1.0000000000,"","","","","","","","",12/18/2042,5280,4800,4800,4800,LIE,LIEZ12,12/17/2012,"","",200.20,217.49,"",201212,06/19/2019,0.6736111111,09/19/2019,0.0420803056,0.6315308056,16.0018833018,10.0504586946
LIEH13,125.7953,09/26/2019,12/07/2012,12/07/2012,03/20/2013,03/20/2043,03/20/2043,16.1428774825,49.8656184393,-33.7227409568,2.5000000000,1.6906809748,0.0000000000,0.0000000000,03/20/2020,1.2500000000,09/18/2019,0.0215588000,12/20/2019,0.5449585556,12/18/2019,09/25/2019,124.9987,-0.1601107541,09/25/2019,1.9000000000,1,0.0008099022,9.4930985000,-0.1593008519,125.7952768345,"",100,2M-3M,1.0000000000,"","","","","","","","",03/19/2043,5280,4800,4800,4800,LIE,LIEH13,03/18/2013,"","",199.46,219.58,"",201303,09/20/2019,0.0416666667,09/20/2019,0.0359313333,0.0057353333,16.1371421492,9.4988338333
LIYM13,107.6087,09/26/2019,02/28/2013,02/28/2013,06/19/2013,06/19/2023,06/19/2023,2.2197821232,7.7902389346,-5.5704568114,2.0000000000,1.4301119281,0.0000000000,0.0000000000,12/19/2019,1.0000000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,107.4986,-0.0712619478,09/25/2019,1.9000000000,1,0.0001113363,5.3177590001,-0.0711506115,107.6086917348,"",100,2M-3M,1.0000000000,"","","","","","","","",06/16/2023,1034,940,940,940,LIY,LIYM13,06/17/2013,"","",38.95,36.99,"",201306,06/19/2019,0.5388888889,09/19/2019,0.0420803056,0.4968085833,1.7229735399,5.8145675834
LIEM13,138.0367,09/26/2019,02/28/2013,02/28/2013,06/19/2013,06/19/2043,06/19/2043,27.0735305957,61.1157711018,-34.0422405061,3.0000000000,1.6710371100,0.0000000000,0.0000000000,12/19/2019,1.5000000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,137.1925,0.3531713455,09/25/2019,1.9000000000,1,0.0013842492,11.3177590001,0.3545555947,138.0367340011,"",100,2M-3M,1.0000000000,"","","","","","","","",06/18/2043,5280,4800,4800,4800,LIE,LIEM13,06/17/2013,"","",203.72,233.25,"",201306,06/19/2019,0.8083333333,09/19/2019,0.0420803056,0.7662530278,26.3072775679,12.0840120279
LIYU13,112.1440,09/26/2019,05/31/2013,05/31/2013,09/18/2013,09/18/2023,09/18/2023,3.8038271199,9.7078354888,-5.9040083689,2.5000000000,1.5204234702,0.0000000000,0.0000000000,03/18/2020,1.2500000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,112.0264,0.0657944449,09/25/2019,1.9000000000,1,0.0001945380,8.4062063890,0.0659889829,112.1440445260,"",100,2M-3M,1.0000000000,"","","","","","","","",09/15/2023,1100,1000,1000,1000,LIY,LIYU13,09/16/2013,"","",38.83,40.04,"",201309,09/18/2019,0.0555555556,09/18/2019,0.0476695556,0.0078860000,3.7959411199,8.4140923890
LIEU13,143.9060,09/26/2019,05/31/2013,05/31/2013,09/18/2013,09/18/2043,09/18/2043,31.6157553821,65.9694651990,-34.3537098169,3.2500000000,1.6924429593,0.0000000000,0.0000000000,03/18/2020,1.6250000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,143.0334,0.6143521495,09/25/2019,1.9000000000,1,0.0016224709,12.9062063891,0.6159746204,143.9059871508,"",100,2M-3M,1.0000000000,"","","","","","","","",09/17/2043,5280,4800,4800,4800,LIE,LIEU13,09/16/2013,"","",202.98,241.44,"",201309,09/18/2019,0.0722222222,09/18/2019,0.0476695556,0.0245526667,31.5912027154,12.9307590558
LIYZ13,116.6281,09/26/2019,08/30/2013,08/30/2013,12/18/2013,12/18/2023,12/18/2023,6.8688316664,13.1076575795,-6.2388259131,3.0000000000,1.4279040802,0.0000000000,0.0000000000,12/18/2019,1.5000000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,116.5028,0.2102871506,09/25/2019,1.9000000000,1,0.0003558947,9.9698684723,0.2106430453,116.6280570934,"",100,2M-3M,1.0000000000,"","","","","","","","",12/15/2023,1177,1070,1070,1070,LIY,LIYZ13,12/16/2013,"","",43.69,43.10,"",201312,06/18/2019,0.8166666667,09/18/2019,0.0476695556,0.7689971111,6.0998345553,10.7388655834
LIEZ13,156.0047,09/26/2019,08/30/2013,08/30/2013,12/18/2013,12/18/2043,12/18/2043,43.0447262050,77.7069381997,-34.6622119947,3.7500000000,1.6727373127,0.0000000000,0.0000000000,12/18/2019,1.8750000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,155.0811,1.1326589256,09/25/2019,1.9000000000,1,0.0022229440,14.0948684722,1.1348818696,156.0047128076,"",100,2M-3M,1.0000000000,"","","","","","","","",12/17/2043,5280,4800,4800,4800,LIE,LIEZ13,12/16/2013,"","",207.22,255.85,"",201312,06/18/2019,1.0208333333,09/18/2019,0.0476695556,0.9731637778,42.0715624272,15.0680322500
