Salary,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P,Player,Points,Percentage,Total_Kicks,Win %,D,F,M,M/F,LIV,LEI,MCI,CHE,MUN,WLV,TOT,SHU,ARS,CRY,NEW,BHA,BUR,EVE,BOU,WHU,AVL,SOU,NOR,WAT
9600,0.99,0.2,4.36,1.29,0.2,0.5,1.19,0.4,0.4,0.4,19.03,Sergio Aguero,0.0,71.43,0.0,76.66,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9300,0.59,0.2,4.35,2.08,0.49,0.4,0.89,0.4,1.48,1.48,21.46,Gabriel Jesus,0.0,61.54,0.047619047619047616,76.66,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6600,1.22,0.81,4.07,2.04,0.0,0.0,2.44,0.41,1.63,1.22,22.81,Kelechi Iheanacho,0.0,53.49,0.0,60.61,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9200,0.5,0.5,3.68,1.89,1.09,3.78,2.88,0.8,0.5,1.29,51.02,Riyad Mahrez,0.0,42.55,1.0952380952380953,76.66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7700,0.0,0.6,3.6,2.4,0.6,1.8,3.6,2.4,1.8,1.8,51.0,Phil Foden,0.0,28.57,0.09523809523809523,76.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4700,0.0,0.21,3.53,1.04,0.42,1.45,1.04,0.62,3.53,0.83,14.55,Moise Kean,0.0,26.32,0.0,8.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8700,0.43,0.32,3.45,1.35,0.49,0.65,1.89,0.38,1.08,0.92,27.66,Raul Jimenez,0.0,43.48,0.0,41.93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,0.31,0.0,3.41,0.93,0.0,0.62,1.24,0.0,1.24,1.24,18.0,Cenk Tosun,0.0,27.78,0.0,8.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5900,0.61,0.0,3.36,1.22,0.61,1.83,0.61,0.61,1.53,2.75,18.0,Patrick Cutrone,0.0,36.36,0.0,41.93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10900,0.4,0.69,3.34,1.04,0.4,10.14,4.09,0.86,0.92,0.75,56.64,Kevin De Bruyne,0.0,33.9,5.904761904761905,76.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6200,0.16,0.16,3.27,1.47,0.82,1.96,1.14,0.82,1.96,1.47,26.95,Michail Antonio,0.0,35.09,0.0,48.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9400,0.59,0.05,3.18,1.13,0.48,2.1,1.78,0.59,1.29,1.29,40.18,Raheem Sterling,0.0,57.45,0.0,76.66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100,0.0,0.15,3.17,0.75,0.6,3.17,1.06,0.6,0.9,1.66,22.61,Theo Walcott,0.0,12.5,0.047619047619047616,8.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7500,0.79,0.07,3.02,1.31,0.26,0.85,1.05,0.66,1.05,0.72,18.77,Danny Ings,0.0,43.48,0.0,28.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9100,0.35,0.48,2.91,1.18,0.35,1.59,1.73,0.69,0.42,0.97,29.1,Son Heung-Min,0.0,38.46,0.47619047619047616,45.43,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6200,0.56,0.0,2.89,1.12,0.37,1.86,0.84,0.65,0.37,2.05,30.43,Harry Wilson,0.0,31.25,0.6190476190476191,25.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6800,0.2,0.0,2.82,0.99,0.46,1.51,1.05,0.53,1.84,2.56,32.19,Diogo Jota,0.0,33.33,0.0,41.93,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8900,0.58,0.11,2.8,1.11,0.26,0.9,0.95,0.32,1.32,1.58,19.69,Harry Kane,0.0,55.56,0.0,45.43,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6200,0.64,0.0,2.78,1.19,0.32,0.71,0.71,0.24,1.91,1.83,19.14,Dominic Calvert-Lewin,0.0,27.03,0.0,8.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4900,0.0,0.0,2.77,1.66,0.55,0.37,1.48,0.92,2.22,1.66,26.06,Christian Benteke,0.0,0.0,0.0,31.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5400,0.45,0.0,2.7,0.9,0.9,0.45,2.25,1.8,1.8,1.8,71.55,Mario Vrancic,0.0,15.38,0.047619047619047616,40.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7000,0.35,0.0,2.68,0.7,0.7,3.85,0.82,0.35,1.17,2.22,22.15,Ismaila Sarr,0.0,25.0,0.0,29.48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
