Salary,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P,Player,Points,Percentage,Total_Kicks,Win %,D,F,M,M/F,LIV,LEI,MCI,CHE,MUN,WLV,TOT,SHU,ARS,CRY,NEW,BHA,BUR,EVE,BOU,WHU,AVL,SOU,NOR,WAT
8300,0.71,0.71,6.43,2.14,0.71,0.0,0.71,0.0,2.86,1.43,20.0,Gabriel Jesus,0.0,61.98,0.0,85.13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9200,1.76,0.25,4.79,2.02,0.25,0.0,1.76,0.25,0.25,0.5,20.17,Sergio Aguero,28.1,71.43,0.0,85.13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6600,0.0,0.3,4.56,1.52,0.61,5.47,3.65,0.91,1.52,0.0,43.18,Gerard Deulofeu,8.1,0.0,1.6666666666666667,5.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8100,0.37,0.37,4.43,0.74,1.48,4.8,1.48,1.11,2.21,0.74,48.32,Bernardo Silva,44.7,51.22,0.6666666666666666,85.13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100,0.32,0.0,4.22,0.97,0.32,3.25,2.6,0.97,1.62,0.65,48.09,Tom Cleverley,4.3,0.0,0.6666666666666666,5.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8500,1.0,0.0,3.6,1.6,0.4,1.8,1.6,1.0,1.4,0.8,33.0,Raheem Sterling,0.0,61.98,0.0,85.13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,0.87,0.0,3.47,1.73,0.22,0.22,0.0,0.0,1.73,3.04,18.22,Ashley Barnes,7.0,41.67,0.0,47.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5400,1.22,0.41,3.45,2.44,0.2,0.41,1.02,0.81,0.61,0.41,11.38,Teemu Pukki,5.2,38.46,0.0,25.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7200,0.66,0.0,3.3,1.32,0.0,0.33,0.66,0.99,0.66,1.65,19.78,Neal Maupay,8.3,29.41,0.0,31.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6300,0.45,0.22,3.13,0.67,0.9,2.46,1.12,2.69,1.12,2.69,27.54,Richarlison,11.9,43.48,0.16666666666666666,59.69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
